Catalyst	Formula	
Platinum Catalyst	Pt	
Titanium Catalyst	Ti	
Palladium Catalyst	Pd	
Cobalt Catalyst	Co	
Manganese Catalyst	Mn	
Magnesium Oxide Catalyst	Mg	
Antimony Trioxide Catalyst	SbO3	
Copper II Chloride Catalyst	CuCl2	
Iron III Chloride Catalyst	FeCl3	
Iron III Oxide Catalyst	Fe2O3	
Ziegler-Natta Catalyst	Cp2Zr+−CH3	
Cobalt-Manganese-Bromide Catalyst	CoMnBr4	
Rhodium Catalyst	Rh	
Potassium Hydroxide Catalyst	KOH	
Zeolite Catalyst	Na2Al2Si3O10	
Silver Catalyst	Ag	
Mercury Salts Catalyst	Hg	
Zinc II Chloride Catalyst	ZnCl2	Lewis Acid
Tungsten VI Chloride  Catalyst	WCl6	Lewis Acid
Samarium III Chloride Catalyst	SmCl3	Lewis Acid
Magnesium Sulfate Catalyst	MgSO4	dehydrating agent
Copper II Sulfate Catalyst	CuSO4	dehydrating agent
Calcium Hydride Catalyst	CaH2	dehydrating agent
Phosphorus Pentoxide Catalyst	PO5	dehydrating agent
Trimethyl Orthoformate Catalyst	C4H10O3	dehydrating agent
Aluminoxane Catalyst	(Al(CH3)O)n	
Sodium Hydroxide Catalyst	NAOH	
Triethylaluminium Catalyst	Al(C2H5)3	
Methyl Ethyl Ketone Peroxide	C8H16O4	
