Version	Game ID	Cell Culture Dish	DNA Sampler	Source Name
1.3.8	1fC	Cell Culture Dish (Pig)	DNA Sampler (Pig)	Pig
1.3.8	1fD	Cell Culture Dish (Sheep)	DNA Sampler (Sheep)	Sheep
1.3.8	1fE	Cell Culture Dish (Cow)	DNA Sampler (Cow)	Cow
1.3.8	1fF	Cell Culture Dish (Chicken)	DNA Sampler (Chicken)	Chicken
1.3.8	1fG	Cell Culture Dish (Squid)	DNA Sampler (Squid)	Squid
1.3.8	1fH	Cell Culture Dish (Wolf)	DNA Sampler (Wolf)	Wolf
1.3.8	1fI	Cell Culture Dish (Ocelot)	DNA Sampler (Ocelot)	Ocelot
1.3.8	1fJ	Cell Culture Dish (Bat)	DNA Sampler (Bat)	Bat
1.3.8	1fK	Cell Culture Dish (Spider)	DNA Sampler (Spider)	Spider
1.3.8	1fL	Cell Culture Dish (Zombie)	DNA Sampler (Zombie)	Zombie
1.3.8	1fM	Cell Culture Dish (Skeleton)	DNA Sampler (Skeleton)	Skeleton
1.3.8	1fN	Cell Culture Dish (Horse)	DNA Sampler (Horse)	Horse
1.3.8	1fO	Cell Culture Dish (Witch)	DNA Sampler (Witch)	Witch
1.3.8	1fP	Cell Culture Dish (Creeper)	DNA Sampler (Creeper)	Creeper
1.3.8	1fQ	Cell Culture Dish (Silverfish)	DNA Sampler (Silverfish)	Silverfish
1.3.8	1fR	Cell Culture Dish (Cave Spider)	DNA Sampler (Cave Spider)	Cave Spider
1.3.8	1fS	Cell Culture Dish (Ghast)	DNA Sampler (Ghast)	Ghast
1.3.8	1fT	Cell Culture Dish (Blaze)	DNA Sampler (Blaze)	Blaze
1.3.8	1fU	Cell Culture Dish (Zombie Pigman)	DNA Sampler (Zombie Pigman)	Zombie Pigman
1.3.8	1fV	Cell Culture Dish (Magma Cube)	DNA Sampler (Magma Cube)	Magma Cube
1.3.8	1fX	Cell Culture Dish (Person)	DNA Sampler (Person)	Person
