Version	Compound	Formula	State of Matter	First Release	Nicknames	Notes	Uses
1.0.0	1,1,1-Trichloroethane	CCl3CH3	Liquid		cleaning fluid, degreaser		hardware store
1.0.0	1,1,1,2-Tetrafluoroethane	CF3CH2F	Gas		—		Most canned air products contain this gas under pressure. Read the labels as some contain other solvents.
1.0.0	1,3-Propanediol	CH2(CH2OH)2	Liquid				
1.0.0	1,4-Butanediol	HOCH2CH2CH2CH2OH	Liquid				
1.0.0	1,6-Hexamethylenediamine		Liquid				
1.0.0	2,2-DiMethylButane	C6H14	Liquid	TRUE		Isomer of Hexane	
1.0.0	2,3-DiMethylButane	C6H14	Liquid	TRUE		Isomer of Hexane	
1.0.0	2-(2-Butoxyethoxy)Ethanol	CH3CH2CH2CH2OCH2CH2OCH2CH2OH	Liquid		Diethylene glycol mono-n-butyl ether		
1.0.0	2-(2-Ethoxyethoxy)Ethanol, Carbitol Cellosolve	CH3CH2OCH2CH2OCH2CH2OH	Liquid		Diethylene glycol monoethyl ether		
1.0.0	2-(2-Methoxyethoxy)Ethanol, Methyl Carbitol	CH3OCH2CH2OCH2CH2OH	Liquid		Diethylene glycol monomethyl ether		
1.0.0	2-Benzyloxyethanol	C6H5CH2OCH2CH2OH	Liquid		Ethylene glycol monobenzyl ether		
1.0.0	2-Butoxyethanol	CH3CH2CH2CH2OCH2CH2OH	Liquid		Ethylene glycol monobutyl ether		a widely used solvent in paintings and surface coatings, cleaning products and inks
1.0.0	2-Butoxyethyl Acetate	CH3CH2CH2CH2OCH2CH2OCOCH3	Liquid		Ethylene glycol monobutyl ether acetate		
1.0.0	2-Ethoxyethanol	CH3CH2OCH2CH2OH	Liquid		Ethylene glycol monoethyl ether		It will dissolve oils, resins, grease, waxes, nitrocellulose, and lacquers
1.0.0	2-Ethoxyethyl Acetate	CH3CH2OCH2CH2OCOCH3	Liquid		Ethylene glycol monoethyl ether acetate		
1.0.0	2-Isopropoxyethanol	(CH3)2CHOCH2CH2OH	Liquid		Ethylene glycol monoisopropyl ether		
1.0.0	2-Methoxyethanol	CH3OCH2CH2OH	Liquid		Ethylene glycol monomethyl ether		solvent for many different purposes such as varnishes, dyes, and resins. It is also used as an additive in airplane deicing solutions
1.0.0	2-Methoxyethyl Acetate	CH3OCH2CH2OCOCH3	Liquid		Ethylene glycol methyl ether acetate		
1.0.0	2-MethylPentane	C6H14	Liquid	TRUE		Isomer of Hexane	
1.0.0	2-Phenoxyethanol	C6H5OCH2CH2OH	Liquid		Ethylene glycol monophenyl ether		
1.0.0	2-Propanol	CH3CHOHCH3	Liquid		rubbing alcohol		Rubbing alcohol (isopropyl alcohol) is a concentrated solution of 2-propanol and may be found in most drug stores. Supermarkets owned by Safeway carry a 99% pure version.
1.0.0	2-Propoxyethanol	CH3CH2CH2OCH2CH2OH	Liquid		Ethylene glycol monopropyl ether		
1.0.0	3-Hydroxybutanoic Acid		Liquid				
1.0.0	3-Hydroxypentanoic Acid		Liquid				
1.0.0	3-MethylPentane	C6H14	Liquid	TRUE		Isomer of Hexane	
1.0.0	4-Hydroxybenzoic Acid		Liquid				
1.0.0	6-Hydroxynaphthalene-2-Carboxylic Acid		Liquid				
1.0.0	Acetaldehyde		Liquid				
1.0.0	Acetic Acid	CH3COOH + H2O	Liquid		5% Solution: White vinegar		Grocery store; white vinegar—5% Photography supply store; Indicator Stop Bath—89% (with Bromocresol Purple dye) or Glacial Acetic Acid 99.5–100%
1.0.0	Acetone	CH3COCH3	Liquid		Acetone		General; nail polish remover
1.0.0	Acetylene	C2H2	Liquid		Ethyne		Hardware store or Welding supply; acetylene
1.0.0	Acetylsalicylic Acid	C9H8O4	Liquid		Aspirin		Pharmacy; Aspirin
1.0.0	Acrylic Acid	C3H4O2	Liquid		Prop-2-enoic acid		Plastics manufacturing
1.0.0	Adipic Acid		Liquid				
1.0.0	Aldehyde-Collidine		Liquid				
1.0.0	Alkyd Resin		Liquid				
1.0.0	Aluminium Ammonium Sulfate	AlNH4(SO4)2	Solid		ammonium alum		General; styptic pencils for shaving
1.0.0	Aluminium Hydroxide	Al(OH)3	Solid		alumina hydrate		General; antacid tablets—blended with magnesium hydroxide
1.0.0	Aluminium Oxide	Al2O3	Solid		alumina		Welding/Industrial supply; sandblasting sand—graded sizes of crystals
1.0.0	Aluminium Potassium Sulfate	KAl(SO4)212H2O	Solid		Alum, potassium aluminium sulphate		General; astringent to shrink mucus membranes
1.0.0	Aluminium Sulfate	Al2(SO4)3	Solid		Flocculating Powder		Pool supply; by name
1.0.0	Ammonia	NH3(aq); NH4OH	Gas		Ammonia,Ammonium Hydroxide		Grocery store; household ammonia—ammonium hydroxide—10% solution.
1.0.0	Ammonium Bicarbonate	(NH4)HCO3	Solid		Salt of Hartshorn,Baker's Ammonia		Scandinavian baking ingredient
1.0.0	Ammonium Bifluoride	NH4HF2	Solid		Ammonium hydrogen fluoride		Hardware store; toilet bowl cleaner, rust stain remover
1.0.0	Ammonium Bromide	NH4Br	Solid		—		Photography store/Darkroom; bleach bath for photograph development
1.0.0	Ammonium Carbonate	(NH4)2CO3	Solid		Smelling Salts,Salt of Hartshorn,Baker's Ammonia		Grocery/Drug store; smelling salts (first-aid section)
1.0.0	Ammonium Chloride	NH4Cl	Solid		Soldering Flux		Hardware store (plumbing); Salt of Ammon, Sal Ammoniac (soldering flux/soldering iron cleaner)
1.0.0	Ammonium Nitrate	NH4NO3	Solid		Ammonium Nitrate		Garden supply; Nitrate of Ammonia (fertilizer)
1.0.0	Ammonium Persulfate	(NH4)2S2O8	Solid		Etching Solution,Ammonium Peroxodisulphate		Electronics supply; circuit board etching solution
1.0.0	Ammonium Phosphate	(NH4)3PO4	Solid		Fertilizer		Garden/Agricultural supply; by name
1.0.0	Ammonium Sulfate	(NH4)2SO4	Solid		—		Garden/Agricultural supply; fertilizer or pH adjuster for soil
1.0.0	Amylose	(C6H9O5)n	Solid		Cornstarch		Grocery store; corn starch
1.0.0	Anthocyanin	—	Liquid		—		Extraction from Red Cabbage: Cut, boil, then filter
1.0.0	Argon Gas	Ar	Gas		—		Welding supply; by name
1.0.0	Ascorbic Acid	C6H8O6	Liquid		Vitamin C		General; Vitamin C tablets
1.0.0	Barium Carbonate	BaCO3	Liquid		—		Difficult to find. Sometimes available from pottery and ceramic supply stores.
1.0.0	Barium Sulfate	BaSO4	Liquid		Lithopone		Available from fine art supply houses in a compound with zinc oxide. This compound is known as Lithipone pigment. Also available in very pure form from radiology labs and medical supply as a radio contrast agent for x-rays and CAT scans—here it may be scented or even flavoured. May be available from a well-stocked pottery and ceramics supply store.
1.0.0	Benzene		Liquid				
1.0.0	Benzene-Toluene-Xylene	BTX	Liquid	TRUE	BTX		
1.0.0	Benzoic Acid		Liquid				
1.0.0	Benzoyl Peroxide	C14H10O4	Liquid		benzoic acid peroxide		Concentrations as high as 10% are available in the US at drug stores in cream form for treatment of acne. A paste containing 50% benzoyl peroxide, is available from some hardware stores under the brand name Minwax High Performance Wood Filler.
1.0.0	Bismuth Subsalicylate	C7H5BiO4	Liquid		Pepto-Bismol		The active ingredient in Pepto-bismol and Kaopectate.
1.0.0	Bisphenol A	(CH3)2C(C6H4OH)2	Liquid				
1.0.0	Boric Acid	H3BO3	Liquid		Ant/Roach Killer		Grocery, drug store, hardware stores; pest control section.
1.0.0	Bromthymol Blue	C27H28Br2O5S	Liquid		pH Test		Aquarium pH test kits often employ bromthymol blue because it changes color in the 6.0–7.6 range.
1.0.0	Butadiene	C4H6	Liquid				
1.0.0	Butane Isomers	C4H10	Gas	TRUE	Butane		The lighter fluid in hand-held fire starters or cigarette lighters is usually liquid butane. Also available in sporting goods & camping stores as a stove fuel. Many similar fuels use propane, so be sure to read the labeling.
1.0.0	Butanol		Liquid				
1.0.0	Butylene isomers	C4H8	Liquid	TRUE			It is a colourless gas that is present in crude oil as a minor constituent in quantities that are too small for viable extraction
1.0.0	Butyrolactone		Liquid				
1.0.0	Cadmium Sulfide	CdS	Liquid		Cadmium Yellow		Fine art supply house. Available as a yellow powder. Sometimes pure, sometimes blended with zinc sulfide to create alternative hues.
1.0.0	Caffeine	C8H10N4O2	Liquid		No-Doz		Grocery or drug store. Often in formulation with corn starch as a binder.
1.0.0	Calcium Carbide	CaC2	Solid		—		Still used by cavers and spelunkers to generate acetylene gas for miner's lamps. May be found through a local caver organization (grotto) or at some non-chain camping/outdoor supply stores.
1.0.0	Calcium Carbonate	CaCO3	Solid		Limestone, Carbonate of Lime		Chunks: Marble, limestone. Powder: Precipitated chalk.
1.0.0	Calcium Chloride	CaCl2	Solid		Laundry Aid/Road Salt/De-Icer		Supermarket, Hardware store; much road salt (de-icer) used to de-ice roads in cold climates.
1.0.0	Calcium Hydroxide	Ca(OH)2	Solid		Slaked Lime,garden lime		Gardening department; used to reduce acidity in soil.
1.0.0	Calcium Hypochlorite	Ca(ClO)2	Solid		—		Bleaching powder and some swimming pool disinfectants contain calcium hypochlorite. Available from cleaning or swimming pool supply companies. Keep in mind that some formulations contain cyanuric acid as a stabilizer against UV light.
1.0.0	Calcium Monoxide		Solid				
1.0.0	Calcium Nitrate	Ca(NO3)2·4H2O	Liquid		Norwegian saltpeter		Available from garden supply and agricultural supply stores as a fertilizer.
1.0.0	Calcium Oxide	CaO	Liquid		Lime, Quicklime		Builder's supply; used to make plaster.
1.0.0	Calcium Phosphate, Monobasic	Ca(H2PO4)2	Liquid		superphosphate		Available as a fertilizer from garden supply stores. Also sometimes available as a nutritional supplement at health food stores.
1.0.0	Calcium Sulfate Anhydrous	CaSO4	Liquid		—		Can be made from commonly available plaster of paris by additional heating to above 180C. Also available at fine art supply stores as Terra Alba.
1.0.0	Calcium Sulfate Dihydrate	CaSO4·2H20	Liquid		Gypsum		Can be made from the reaction of Plaster of Paris with Water.
1.0.0	Calcium Sulfate,Hemihydrate	CaSO4·1/2H20	Liquid		Plaster of Paris		Hardware stores, arts and craft stores, and hobby shops.
1.0.0	Camphor	C10H16O	Liquid		—		Can be found as a flavor additive at some Chinese grocery stores. Sometimes found in the drugstore as a cream or oral remedy. It feels cool like menthol on the skin.
1.0.0	Caprolactone		Liquid				
1.0.0	Caprolactum		Liquid				
1.0.0	Carbon Dioxide	CO2	Gas	TRUE	—		Dry ice is available from party stores, supermarkets, refrigeration supply companies and ice cream companies. Nationally distributed by Airgas through Penguin Brand Dry Ice. Gaseous form available in small canisters at sporting goods stores. Used in air guns and in paintball.
1.0.0	Carbon Monoxide		Liquid				
1.0.0	Carbonic Acid	H2CO3	Liquid		—		Soda water is simply carbonated water, a dilute solution of carbonic acid. A Soda Club home soda maker is a good way to make your own carbonic acid in varying strengths.
1.0.0	Carboxylates	M(RCOO)n	Liquid				Make with Sodium and Acrylic Acid?
1.0.0	Carrageenan	—	Liquid		—		Available in some health food stores as a food additive. Used in many commercial food preparations as a thickener and gelling agent. Available at fine art supply stores for use in molding and marbling.
