Compound	Formula	Nicknames	Uses		
1,1,1-Trichloroethane	CCl3CH3	cleaning fluid, degreaser	hardware store		
1,1,1,2-Tetrafluoroethane	CF3CH2F	—	Most canned air products contain this gas under pressure. Read the labels as some contain other solvents.		
1,3-Propanediol					
1,4-Butanediol					
1,6-Hexamethylenediamine					
2-(2-Butoxyethoxy)Ethanol	CH3CH2CH2CH2OCH2CH2OCH2CH2OH	Diethylene glycol mono-n-butyl ether			Glycol Ether Solvent
2-(2-Ethoxyethoxy)Ethanol, Carbitol Cellosolve	CH3CH2OCH2CH2OCH2CH2OH	Diethylene glycol monoethyl ether			Glycol Ether Solvent
2-(2-Methoxyethoxy)Ethanol, Methyl Carbitol	CH3OCH2CH2OCH2CH2OH	Diethylene glycol monomethyl ether			Glycol Ether Solvent
2-Benzyloxyethanol	C6H5CH2OCH2CH2OH	Ethylene glycol monobenzyl ether			Glycol Ether Solvent
2-Butoxyethanol	CH3CH2CH2CH2OCH2CH2OH	Ethylene glycol monobutyl ether	a widely used solvent in paintings and surface coatings, cleaning products and inks		Glycol Ether Solvent
2-Butoxyethyl Acetate	CH3CH2CH2CH2OCH2CH2OCOCH3	Ethylene glycol monobutyl ether acetate			Esters
2-Ethoxyethanol	CH3CH2OCH2CH2OH	Ethylene glycol monoethyl ether	It will dissolve oils, resins, grease, waxes, nitrocellulose, and lacquers		Glycol Ether Solvent
2-Ethoxyethyl Acetate	CH3CH2OCH2CH2OCOCH3	Ethylene glycol monoethyl ether acetate			Esters
2-Isopropoxyethanol	(CH3)2CHOCH2CH2OH	Ethylene glycol monoisopropyl ether			Glycol Ether Solvent
2-Methoxyethanol	CH3OCH2CH2OH	Ethylene glycol monomethyl ether	solvent for many different purposes such as varnishes, dyes, and resins. It is also used as an additive in airplane deicing solutions		Glycol Ether Solvent
2-Methoxyethyl Acetate	CH3OCH2CH2OCOCH3	Ethylene glycol methyl ether acetate			Esters
2-Phenoxyethanol	C6H5OCH2CH2OH	Ethylene glycol monophenyl ether			Glycol Ether Solvent
2-Propanol	CH3CHOHCH3	rubbing alcohol	Rubbing alcohol (isopropyl alcohol) is a concentrated solution of 2-propanol and may be found in most drug stores. Supermarkets owned by Safeway carry a 99% pure version.		
2-Propoxyethanol	CH3CH2CH2OCH2CH2OH	Ethylene glycol monopropyl ether			Glycol Ether Solvent
3-Hydroxybutanoic Acid					
3-Hydroxypentanoic Acid					
4-Hydroxybenzoic Acid					
6-Hydroxynaphthalene-2-Carboxylic Acid					
Acetaldehyde					
Acetic Acid	CH3COOH + H2O	5% Solution: White vinegar	Grocery store; white vinegar—5% Photography supply store; Indicator Stop Bath—89% (with Bromocresol Purple dye) or Glacial Acetic Acid 99.5–100%		
Acetone	CH3COCH3	Acetone	General; nail polish remover		
Acetylene	C2H2	Ethyne	Hardware store or Welding supply; acetylene		
Acetylsalicylic Acid	C9H8O4	Aspirin	Pharmacy; Aspirin		
Acrylic Acid					
Adipic Acid					
Aldehyde-Collidine					
Alkyd Resin					
Aluminium Ammonium Sulfate	AlNH4(SO4)2	ammonium alum	General; styptic pencils for shaving		
Aluminium Hydroxide	Al(OH)3	alumina hydrate	General; antacid tablets—blended with magnesium hydroxide		
Aluminium Oxide	Al2O3	alumina	Welding/Industrial supply; sandblasting sand—graded sizes of crystals		
Aluminium Potassium Sulfate	KAl(SO4)212H2O	Alum, potassium aluminium sulphate	General; astringent to shrink mucus membranes		
Aluminium Sulfate	Al2(SO4)3	Flocculating Powder	Pool supply; by name		
Ammonia	NH3(aq); NH4OH	Ammonia,Ammonium Hydroxide	Grocery store; household ammonia—ammonium hydroxide—10% solution.		
Ammonium Bicarbonate	(NH4)HCO3	Salt of Hartshorn,Baker's Ammonia	Scandinavian baking ingredient		
Ammonium Bifluoride	NH4HF2	Ammonium hydrogen fluoride	Hardware store; toilet bowl cleaner, rust stain remover		
Ammonium Bromide	NH4Br	—	Photography store/Darkroom; bleach bath for photograph development		
Ammonium Carbonate	(NH4)2CO3	Smelling Salts,Salt of Hartshorn,Baker's Ammonia	Grocery/Drug store; smelling salts (first-aid section)		
Ammonium Chloride	NH4Cl	Soldering Flux	Hardware store (plumbing); Salt of Ammon, Sal Ammoniac (soldering flux/soldering iron cleaner)		
