Version	Element	Symbol	State	Atomic_Number	Group	Period	Atomic_Weight	Density	Melt	Boil	Heat	Electronegativity	Abundance
1.0.0	Hydrogen	H	Gas	1	1	1	1.0082	8.988E-5	14.01	20.28	14.304	2.2	1400
1.0.0	Helium	He	Gas	2	18	1	4.002602	1.785E-4	0.955999999999999	4.22	5.19299999999999	0	0.008
1.0.0	Lithium	Li	Solid	3	1	2	6.942	0.534	453.69	1560	3.58199999999999	0.98	20
1.0.0	Beryllium	Be	Solid	4	2	2	9.01218199999999	1.85	1560	2742	1.825	1.57	2.8
1.0.0	Boron	B	Solid	5	13	2	10.8119999999999	2.34	2349	4200	1.026	2.04	10
1.0.0	Carbon	C	Solid	6	14	2	12.0109999999999	2.26699999999999	3800	4300	0.708999999999999	2.54999999999999	200
1.0.0	Nitrogen	N	Gas	7	15	2	14.0071999999999	0.00125059999999999	63.15	77.36	1.04	3.04	19
1.0.0	Oxygen	O	Gas	8	16	2	15.9992	0.00142899999999999	54.36	90.2	0.918	3.44	461000
1.0.0	Fluorine	F	Gas	9	17	2	18.9984	0.001696	53.53	85.03	0.823999999999999	3.98	585
1.0.0	Neon	Ne	Gas	10	18	2	20.1797	8.999E-4	24.56	27.07	1.03	0	0.005
1.0.0	Sodium	Na	Solid	11	1	3	22.9897692	0.970999999999999	370.87	1156	1.228	0.93	23600
1.0.0	Magnesium	Mg	Solid	12	2	3	24.3059	1.738	923	1363	1.02299999999999	1.31	23300
1.0.0	Aluminum	Al	Solid	13	13	3	26.9815386	2.698	933.47	2792	0.897	1.61	82300
1.0.0	Silicon	Si	Solid	14	14	3	28.0854	2.3296	1687	3538	0.704999999999999	1.9	282000
1.0.0	Phosphorus	P	Solid	15	15	3	30.973762	1.82	317.3	550	0.769	2.19	1050
1.0.0	Sulfur	S	Solid	16	16	3	32.0619999999999	2.067	388.36	717.87	0.71	2.58	350
1.0.0	Chlorine	Cl	Gas	17	17	3	35.4519999999999	0.00321399999999999	171.6	239.11	0.478999999999999	3.16	145
1.0.0	Argon	Ar	Gas	18	18	3	39.948	0.0017837	83.8	87.3	0.52	0	3.5
1.0.0	Potassium	K	Solid	19	1	4	39.0983	0.861999999999999	336.53	1032	0.757	0.82	20900
1.0.0	Calcium	Ca	Solid	20	2	4	40.078	1.54	1115	1757	0.647	1	41500
1.0.0	Scandium	Sc	Solid	21	3	4	44.95591	2.98899999999999	1814	3109	0.567999999999999	1.36	22
1.0.0	Titanium	Ti	Solid	22	4	4	47.8669999999999	4.54	1941	3560	0.523	1.54	5650
1.0.0	Vanadium	V	Solid	23	5	4	50.9414999999999	6.11	2183	3680	0.488999999999999	1.63	120
1.0.0	Chromium	Cr	Solid	24	6	4	51.9960999999999	7.15	2180	2944	0.449	1.66	102
1.0.0	Manganese	Mn	Solid	25	7	4	54.938045	7.44	1519	2334	0.478999999999999	1.55	950
1.0.0	Iron	Fe	Solid	26	8	4	55.8449999999999	7.87399999999999	1811	3134	0.449	1.83	56300
1.0.0	Cobalt	Co	Solid	27	9	4	58.93319	8.86	1768	3200	0.420999999999999	1.88	25
1.0.0	Nickel	Ni	Solid	28	10	4	58.6933999999999	8.912	1728	3186	0.444	1.91	84
1.0.0	Copper	Cu	Solid	29	11	4	63.5459999999999	8.96	1357.77	2835	0.385	1.9	60
1.0.0	Zinc	Zn	Solid	30	12	4	65.38	7.134	692.88	1180	0.388	1.65	70
1.0.0	Gallium	Ga	Solid	31	13	4	69.7229999999999	5.907	302.9146	2477	0.371	1.81	19
1.0.0	Germanium	Ge	Solid	32	14	4	72.63	5.323	1211.4	3106	0.32	2.00999999999999	1.5
1.0.0	Arsenic	As	Solid	33	15	4	74.9215999999999	5.77599999999999	1090	887	0.329	2.18	1.8
1.0.0	Selenium	Se	Solid	34	16	4	78.9599999999999	4.809	453	958	0.321	2.54999999999999	0.05
1.0.0	Bromine	Br	Liquid	35	17	4	79.9048999999999	3.12199999999999	265.8	332	0.473999999999999	2.96	2.4
1.0.0	Krypton	Kr	Gas	36	18	4	83.798	0.003733	115.79	119.93	0.248	3	0.001
1.0.0	Rubidium	Rb	Solid	37	1	5	85	1.532	312.459999999999	961	0.362999999999999	0.82	90
1.0.0	Strontium	Sr	Solid	38	2	5	87.62	2.64	1050	1655	0.300999999999999	0.95	370
1.0.0	Yttrium	Y	Solid	39	3	5	88.90585	4.469	1799	3609	0.297999999999999	1.22	33
1.0.0	Zirconium	Zr	Solid	40	4	5	91.224	6.506	2128	4682	0.278	1.33	165
