Version	Date Released	Choose
1.0.0	14-Jun-14	
1.0.1	15-Jun-14	
1.0.2	16-Jun-14	
1.0.3	23-Jun-14	
1.0.4	17-Aug-14	
1.0.5	31-Sept-14	
1.0.6	18-Oct-14	
1.0.7	20-Oct-14	
1.0.8	29-Oct-14	
1.0.9	25-Dec-14	
1.1.0	29-Dec-14	
1.1.1	2-Feb-15	
1.1.2	7-Feb-15	
1.1.3	25-Feb-15	
1.1.4	27-Feb-15	
1.2.3	19-May-15	
1.2.5	21-May-15	
1.3.0	6-Jun-15	
1.3.1	29-Jun-15	
1.3.2	4-Jul-15	
1.3.3	30-Jul-15	
1.3.4	5-Aug-15	
1.3.5	19-Aug-15	
1.3.6	9-Sep-15	
1.3.7	23-Sep-15	
1.3.8	31-Oct-15	
1.4.0	11-Nov-15	
1.4.2	25-Nov-15	
1.4.3	1-Jan-16	
1.4.4	1-Jul-17	
1.4.5	20-Jul-17	
1.4.6	17-Aug-17	
1.4.7	7-Dec-17	
1.4.8	4-Apr-18	
1.4.9	5-Jun-18	x
