Version	Game ID	Type	Flashcard Name	
1.4.3	1go	0	flashcard_0	
1.4.3	1gp	1	flashcard_1	
1.4.3	1gq	2	flashcard_2	
1.4.3	1gr	3	flashcard_3	
1.4.3	1gs	4	flashcard_4	
1.4.3	1gt	5	flashcard_5	
1.4.3	1gu	6	flashcard_6	
1.4.3	1gv	7	flashcard_7	
1.4.3	1gw	8	flashcard_8	
1.4.3	1gx	9	flashcard_9	
1.4.3	1gy	90o	flashcard_90o	
1.4.3	1gz	109_5o	flashcard_109_5o	
1.4.3	1gA	120o	flashcard_120o	
1.4.3	1gB	180o	flashcard_180o	
1.4.3	1gC	a	flashcard_a	
1.4.3	1gD	b	flashcard_b	
1.4.3	1gE	c	flashcard_c	
1.4.3	1gF	d	flashcard_d	
1.4.3	1gG	e	flashcard_e	
1.4.3	1gH	f	flashcard_f	
1.4.3	1gI	g	flashcard_g	
1.4.3	1gJ	h	flashcard_h	
1.4.3	1gK	i	flashcard_i	
1.4.3	1gL	j	flashcard_j	
1.4.3	1gM	k	flashcard_k	
1.4.3	1gN	l	flashcard_l	
1.4.3	1gO	m	flashcard_m	
1.4.3	1gP	n	flashcard_n	
1.4.3	1gQ	o	flashcard_o	
1.4.3	1gR	p	flashcard_p	
1.4.3	1gS	q	flashcard_q	
1.4.3	1gT	r	flashcard_r	
1.4.3	1gU	s	flashcard_s	
1.4.3	1gV	t	flashcard_t	
1.4.3	1gW	u	flashcard_u	
1.4.3	1gX	v	flashcard_v	
1.4.3	1gY	w	flashcard_w	
1.4.3	1gZ	x	flashcard_x	
1.4.3	1h0	y	flashcard_y	
1.4.3	1h1	z	flashcard_z	
1.4.3	1h2	p_orbital	flashcard_p_orbital	
1.4.3	1h3	sp	flashcard_sp	
1.4.3	1h4	sp2	flashcard_sp2	
1.4.3	1h5	sp3	flashcard_sp3	
1.4.3	1h6	sp3d	flashcard_sp3d	
1.4.3	1h7	sp3d2	flashcard_sp3d2	
1.4.3	1h8	trans	flashcard_trans	
1.4.3	1h9	cis	flashcard_cis	
