Version	Game ID	Gripped Tool	Tool	Molded Item	Synthetic Gripped	Durability Buff	Speed Buff	Level	First Release	Notes
1.4.8	1i0	Gripped Composite Steel Hoe	Composite Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1i1	Gripped Composite Stainless Steel Hoe	Composite Stainless Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1i2	Gripped Composite Brass Hoe	Composite Brass	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1i3	Gripped Composite Bronze Hoe	Composite Bronze	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1i4	Gripped Composite Tungsten Carbide Hoe	Composite Tungsten Carbide	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1i5	Gripped Composite Nichrome Hoe	Composite Nichrome	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1i6	Gripped Composite Antimony-Lead Hoe	Composite Antimony-Lead	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1i7	Gripped Engineered Steel Hoe	Engineered Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1i8	Gripped Engineered Stainless Steel Hoe	Engineered Stainless Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1i9	Gripped Engineered Brass Hoe	Engineered Brass	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1ia	Gripped Engineered Bronze Hoe	Engineered Bronze	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1ib	Gripped Engineered Tungsten Carbide Hoe	Engineered Tungsten Carbide	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1ic	Gripped Engineered Nichrome Hoe	Engineered Nichrome	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1id	Gripped Engineered Antimony-Lead Hoe	Engineered Antimony-Lead	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
1.4.8	1ie	Gripped Composite Iron Hoe	Composite Iron	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1if	Gripped Engineered Iron Hoe	Engineered Iron	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1ig	Gripped Composite Diamond Hoe	Composite Diamond	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1ih	Gripped Engineered Diamond Hoe	Engineered Diamond	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1ii	Gripped Composite Steel Axe	Composite Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1ij	Gripped Composite Stainless Steel Axe	Composite Stainless Steel	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1ik	Gripped Composite Brass Axe	Composite Brass	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1il	Gripped Composite Bronze Axe	Composite Bronze	Grip (Synthetic Rubber)	Iron	1.25	1.25	8	FALSE	
1.4.8	1im	Gripped Composite Tungsten Carbide Axe	Composite Tungsten Carbide	Grip (Synthetic Rubber)	Diamond	1.25	1.25	8	FALSE	
1.4.8	1in	Gripped Composite Nichrome Axe	Composite Nichrome	Grip (Synthetic Rubber)	Golden	1.25	1.25	8	FALSE	
