Version	Game ID Mask	Mask	Mask	Electronics	Layer													
1.3.2	1c1	Mask (Solar Cell)(PR Backplane)	Mask	Solar Cell	PR Backplane
1.3.2	1c2	Mask (Solar Cell)(PR Semiconductor)	Mask	Solar Cell	PR Semiconductor
1.3.2	1c3	Mask (Solar Cell)(PR Dielectric)	Mask	Solar Cell	PR Dielectric
1.3.2	1c4	Mask (Solar Cell)(PR Traces)	Mask	Solar Cell	PR Traces
1.3.2	1c5	Mask (Solar Cell)(PR Encapsulation)	Mask	Solar Cell	PR Encapsulation
1.3.2	1c6	Mask (Processor)(PR Backplane)	Mask	Processor	PR Backplane
1.3.2	1c7	Mask (Processor)(PR n-Type Semiconductor)	Mask	Processor	PR n-Type Semiconductor
1.3.2	1c8	Mask (Processor)(PR p-Type Semiconductor)	Mask	Processor	PR p-Type Semiconductor
1.3.2	1c9	Mask (Processor)(PR Dielectric)	Mask	Processor	PR Dielectric
1.3.2	1ca	Mask (Processor)(PR Inner Traces)	Mask	Processor	PR Inner Traces
1.3.2	1cb	Mask (Processor)(PR Through Vias)	Mask	Processor	PR Through Vias
1.3.2	1cc	Mask (Processor)(PR Outer Traces)	Mask	Processor	PR Outer Traces
1.3.2	1cd	Mask (Processor)(PR Encapsulation)	Mask	Processor	PR Encapsulation
1.3.2	1ce	Mask (Temperature Sensor)(PR Backplane)	Mask	Temperature Sensor	PR Backplane
1.3.2	1cf	Mask (Temperature Sensor)(PR Semiconductor)	Mask	Temperature Sensor	PR Semiconductor
1.3.2	1cg	Mask (Temperature Sensor)(PR Dielectric)	Mask	Temperature Sensor	PR Dielectric
1.3.2	1ch	Mask (Temperature Sensor)(PR Traces)	Mask	Temperature Sensor	PR Traces
1.3.2	1ci	Mask (Temperature Sensor)(PR Encapsulation)	Mask	Temperature Sensor	PR Encapsulation
1.3.2	1cj	Mask (Pressure Sensor)(PR Backplane)	Mask	Pressure Sensor	PR Backplane
1.3.2	1ck	Mask (Pressure Sensor)(PR Semiconductor)	Mask	Pressure Sensor	PR Semiconductor
1.3.2	1cl	Mask (Pressure Sensor)(PR Dielectric)	Mask	Pressure Sensor	PR Dielectric
1.3.2	1cm	Mask (Pressure Sensor)(PR Traces)	Mask	Pressure Sensor	PR Traces
1.3.2	1cn	Mask (Pressure Sensor)(PR Encapsulation)	Mask	Pressure Sensor	PR Encapsulation
1.3.2	1co	Mask (Low Power Radio)(PR Backplane)	Mask	Low Power Radio	PR Backplane
1.3.2	1cp	Mask (Low Power Radio)(PR n-Type Semiconductor)	Mask	Low Power Radio	PR n-Type Semiconductor
1.3.2	1cq	Mask (Low Power Radio)(PR p-Type Semiconductor)	Mask	Low Power Radio	PR p-Type Semiconductor
1.3.2	1cr	Mask (Low Power Radio)(PR Dielectric)	Mask	Low Power Radio	PR Dielectric
1.3.2	1cs	Mask (Low Power Radio)(PR Inner Traces)	Mask	Low Power Radio	PR Inner Traces
1.3.2	1ct	Mask (Low Power Radio)(PR Through Vias)	Mask	Low Power Radio	PR Through Vias
1.3.2	1cu	Mask (Low Power Radio)(PR Outer Traces)	Mask	Low Power Radio	PR Outer Traces
1.3.2	1cv	Mask (Low Power Radio)(PR Encapsulation)	Mask	Low Power Radio	PR Encapsulation
1.3.2	1cw	Mask (DSP)(PR Backplane)	Mask	DSP	PR Backplane
1.3.2	1cx	Mask (DSP)(PR n-Type Semiconductor)	Mask	DSP	PR n-Type Semiconductor
1.3.2	1cy	Mask (DSP)(PR p-Type Semiconductor)	Mask	DSP	PR p-Type Semiconductor
1.3.2	1cz	Mask (DSP)(PR Dielectric)	Mask	DSP	PR Dielectric
1.3.2	1cA	Mask (DSP)(PR Inner Traces)	Mask	DSP	PR Inner Traces
1.3.2	1cB	Mask (DSP)(PR Through Vias)	Mask	DSP	PR Through Vias
1.3.2	1cC	Mask (DSP)(PR Outer Traces)	Mask	DSP	PR Outer Traces
1.3.2	1cD	Mask (DSP)(PR Encapsulation)	Mask	DSP	PR Encapsulation
1.3.2	1cE	Mask (Digital Analog Convertor)(PR Backplane)	Mask	Digital Analog Convertor	PR Backplane
1.3.2	1cF	Mask (Digital Analog Convertor)(PR Semiconductor)	Mask	Digital Analog Convertor	PR Semiconductor
1.3.2	1cG	Mask (Digital Analog Convertor)(PR Dielectric)	Mask	Digital Analog Convertor	PR Dielectric
1.3.2	1cH	Mask (Digital Analog Convertor)(PR Traces)	Mask	Digital Analog Convertor	PR Traces
1.3.2	1cI	Mask (Digital Analog Convertor)(PR Encapsulation)	Mask	Digital Analog Convertor	PR Encapsulation
1.3.2	1cJ	Mask (Amplifier)(PR Backplane)	Mask	Amplifier	PR Backplane
1.3.2	1cK	Mask (Amplifier)(PR Semiconductor)	Mask	Amplifier	PR Semiconductor
1.3.2	1cL	Mask (Amplifier)(PR Dielectric)	Mask	Amplifier	PR Dielectric
1.3.2	1cM	Mask (Amplifier)(PR Traces)	Mask	Amplifier	PR Traces
1.3.2	1cN	Mask (Amplifier)(PR Encapsulation)	Mask	Amplifier	PR Encapsulation
1.3.2	1cO	Mask (OLED Array)(PR Backplane)	Mask	OLED Array	PR Backplane
1.3.2	1cP	Mask (OLED Array)(PR Semiconductor)	Mask	OLED Array	PR Semiconductor
1.3.2	1cQ	Mask (OLED Array)(PR Dielectric)	Mask	OLED Array	PR Dielectric
1.3.2	1cR	Mask (OLED Array)(PR Traces)	Mask	OLED Array	PR Traces
1.3.2	1cS	Mask (OLED Array)(PR Encapsulation)	Mask	OLED Array	PR Encapsulation
