Version	Minecraft Item			Item (MC)				
1.0.0	Iron Shovel	iron shovel	iron shovel	iron_shovel	256	100	minecraft:iron_shovel	Iron Shovel D
1.0.0	Iron Pickaxe	iron pickaxe	iron pickaxe	iron_pickaxe	257	101	minecraft:iron_pickaxe	Iron Pickaxe D
1.0.0	Iron Axe	iron axe	iron axe	iron_axe	258	102	minecraft:iron_axe	Iron Axe D
1.0.0	Flint And Steel	flint and steel	flint and_steel	flint_and_steel	259	103	minecraft:flint_and_steel	Flint and Steel D
1.0.0	Apple	apple	apple	apple	260	104	minecraft:apple	Apple
1.0.0	Bow	bow	bow	bow	261	105	minecraft:bow	Bow D
1.0.0	Arrow	arrow	arrow	arrow	262	106	minecraft:arrow	Arrow
1.0.0	Coal	coal	coal	coal	263	107	minecraft:coal	Coal B
1.0.0	Diamond	diamond	diamond	diamond	264	108	minecraft:diamond	Diamond
1.0.0	Iron Ingot	iron ingot	iron ingot	iron_ingot	265	109	minecraft:iron_ingot	Iron Ingot
1.0.0	Gold Ingot	gold ingot	gold ingot	gold_ingot	266	10A	minecraft:gold_ingot	Gold Ingot
1.0.0	Iron Sword	iron sword	iron sword	iron_sword	267	10B	minecraft:iron_sword	Iron Sword D
1.0.0	Wooden Sword	wooden sword	wooden sword	wooden_sword	268	10C	minecraft:wooden_sword	Wooden Sword D
1.0.0	Wooden Shovel	wooden shovel	wooden shovel	wooden_shovel	269	10D	minecraft:wooden_shovel	Wooden Shovel D
1.0.0	Wooden Pickaxe	wooden pickaxe	wooden pickaxe	wooden_pickaxe	270	10E	minecraft:wooden_pickaxe	Wooden Pickaxe D
1.0.0	Wooden Axe	wooden axe	wooden axe	wooden_axe	271	10F	minecraft:wooden_axe	Wooden Axe D
1.0.0	Stone Sword	stone sword	stone sword	stone_sword	272	110	minecraft:stone_sword	Stone Sword D
1.0.0	Stone Shovel	stone shovel	stone shovel	stone_shovel	273	111	minecraft:stone_shovel	Stone Shovel D
1.0.0	Stone Pickaxe	stone pickaxe	stone pickaxe	stone_pickaxe	274	112	minecraft:stone_pickaxe	Stone Pickaxe D
1.0.0	Stone Axe	stone axe	stone axe	stone_axe	275	113	minecraft:stone_axe	Stone Axe D
1.0.0	Diamond Sword	diamond sword	diamond sword	diamond_sword	276	114	minecraft:diamond_sword	Diamond Sword D
1.0.0	Diamond Shovel	diamond shovel	diamond shovel	diamond_shovel	277	115	minecraft:diamond_shovel	Diamond Shovel D
1.0.0	Diamond Pickaxe	diamond pickaxe	diamond pickaxe	diamond_pickaxe	278	116	minecraft:diamond_pickaxe	Diamond Pickaxe D
1.0.0	Diamond Axe	diamond axe	diamond axe	diamond_axe	279	117	minecraft:diamond_axe	Diamond Axe D
1.0.0	Stick	stick	stick	stick	280	118	minecraft:stick	Stick
1.0.0	Bowl	bowl	bowl	bowl	281	119	minecraft:bowl	Bowl
1.0.0	Mushroom Stew	mushroom stew	mushroom stew	mushroom_stew	282	11A	minecraft:mushroom_stew	Mushroom Stew
1.0.0	Golden Sword	golden sword	golden sword	golden_sword	283	11B	minecraft:golden_sword	Golden Sword D
1.0.0	Golden Shovel	golden shovel	golden shovel	golden_shovel	284	11C	minecraft:golden_shovel	Golden Shovel D
1.0.0	Golden Pickaxe	golden pickaxe	golden pickaxe	golden_pickaxe	285	11D	minecraft:golden_pickaxe	Golden Pickaxe D
1.0.0	Golden Axe	golden axe	golden axe	golden_axe	286	11E	minecraft:golden_axe	Golden Axe D
1.0.0	String	string	string	string	287	11F	minecraft:string	String
1.0.0	Feather	feather	feather	feather	288	120	minecraft:feather	Feather
1.0.0	Gunpowder	gunpowder	gunpowder	gunpowder	289	121	minecraft:gunpowder	Gunpowder
1.0.0	Wooden Hoe	wooden hoe	wooden hoe	wooden_hoe	290	122	minecraft:wooden_hoe	Wooden Hoe D
1.0.0	Stone Hoe	stone hoe	stone hoe	stone_hoe	291	123	minecraft:stone_hoe	Stone Hoe D
1.0.0	Iron Hoe	iron hoe	iron hoe	iron_hoe	292	124	minecraft:iron_hoe	Iron Hoe D
1.0.0	Diamond Hoe	diamond hoe	diamond hoe	diamond_hoe	293	125	minecraft:diamond_hoe	Diamond Hoe D
1.0.0	Golden Hoe	golden hoe	golden hoe	golden_hoe	294	126	minecraft:golden_hoe	Gold Hoe D
1.0.0	Wheat Seeds	wheat seeds	wheat seeds	wheat_seeds	295	127	minecraft:wheat_seeds	Seeds
1.0.0	Wheat	wheat	wheat	wheat	296	128	minecraft:wheat	Wheat
1.0.0	Bread	bread	bread	bread	297	129	minecraft:bread	Bread
1.0.0	Leather Helmet	leather helmet	leather helmet	leather_helmet	298	12A	minecraft:leather_helmet	Leather Cap D
1.0.0	Leather Chestplate	leather chestplate	leather chestplate	leather_chestplate	299	12B	minecraft:leather_chestplate	Leather Tunic D
1.0.0	Leather Leggings	leather leggings	leather leggings	leather_leggings	300	12C	minecraft:leather_leggings	Leather Pants D
1.0.0	Leather Boots	leather boots	leather boots	leather_boots	301	12D	minecraft:leather_boots	Leather Boots D
1.0.0	Chainmail Helmet	chainmail helmet	chainmail helmet	chainmail_helmet	302	12E	minecraft:chainmail_helmet	Chain Helmet D
1.0.0	Chainmail Chestplate	chainmail chestplate	chainmail chestplate	chainmail_chestplate	303	12F	minecraft:chainmail_chestplate	Chain Chestplate D
1.0.0	Chainmail Leggings	chainmail leggings	chainmail leggings	chainmail_leggings	304	130	minecraft:chainmail_leggings	Chain Leggings D
1.0.0	Chainmail Boots	chainmail boots	chainmail boots	chainmail_boots	305	131	minecraft:chainmail_boots	Chain Boots D
1.0.0	Iron Helmet	iron helmet	iron helmet	iron_helmet	306	132	minecraft:iron_helmet	Iron Helmet D
1.0.0	Iron Chestplate	iron chestplate	iron chestplate	iron_chestplate	307	133	minecraft:iron_chestplate	Iron Chestplate D
1.0.0	Iron Leggings	iron leggings	iron leggings	iron_leggings	308	134	minecraft:iron_leggings	Iron Leggings D
1.0.0	Iron Boots	iron boots	iron boots	iron_boots	309	135	minecraft:iron_boots	Iron Boots D
1.0.0	Diamond Helmet	diamond helmet	diamond helmet	diamond_helmet	310	136	minecraft:diamond_helmet	Diamond Helmet D
1.0.0	Diamond Chestplate	diamond chestplate	diamond chestplate	diamond_chestplate	311	137	minecraft:diamond_chestplate	Diamond Chestplate D
1.0.0	Diamond Leggings	diamond leggings	diamond leggings	diamond_leggings	312	138	minecraft:diamond_leggings	Diamond Leggings D
1.0.0	Diamond Boots	diamond boots	diamond boots	diamond_boots	313	139	minecraft:diamond_boots	Diamond Boots D
1.0.0	Golden Helmet	golden helmet	golden helmet	golden_helmet	314	13A	minecraft:golden_helmet	Golden Helmet D
1.0.0	Golden Chestplate	golden chestplate	golden chestplate	golden_chestplate	315	13B	minecraft:golden_chestplate	Golden Chestplate D
1.0.0	Golden Leggings	golden leggings	golden leggings	golden_leggings	316	13C	minecraft:golden_leggings	Golden Leggings D
1.0.0	Golden Boots	golden boots	golden boots	golden_boots	317	13D	minecraft:golden_boots	Golden Boots D
1.0.0	Flint	flint	flint	flint	318	13E	minecraft:flint	Flint
1.0.0	Porkchop	porkchop	porkchop	porkchop	319	13F	minecraft:porkchop	Raw Porkchop
1.0.0	Cooked Porkchop	cooked porkchop	cooked porkchop	cooked_porkchop	320	140	minecraft:cooked_porkchop	Cooked Porkchop
1.0.0	Painting	painting	painting	painting	321	141	minecraft:painting	Painting
1.0.0	Golden Apple	golden apple	golden apple	golden_apple	322	142	minecraft:golden_apple	Golden Apple B
1.0.0	Sign	sign	sign	sign	323	143	minecraft:sign	Sign
1.0.0	Wooden Door	wooden door	wooden door	wooden_door	324	144	minecraft:wooden_door	Wooden Door
1.0.0	Bucket	bucket	bucket	bucket	325	145	minecraft:bucket	Bucket
1.0.0	Water Bucket	water bucket	water bucket	water_bucket	326	146	minecraft:water_bucket	Water Bucket
1.0.0	Lava Bucket	lava bucket	lava bucket	lava_bucket	327	147	minecraft:lava_bucket	Lava Bucket
1.0.0	Minecart	minecart	minecart	minecart	328	148	minecraft:minecart	Minecart
1.0.0	Saddle	saddle	saddle	saddle	329	149	minecraft:saddle	Saddle
1.0.0	Iron Door	iron door	iron door	iron_door	330	14A	minecraft:iron_door	Iron Door
1.0.0	Redstone	redstone	redstone	redstone	331	14B	minecraft:redstone	Redstone
1.0.0	Snowball	snowball	snowball	snowball	332	14C	minecraft:snowball	Snowball
1.0.0	Boat	boat	boat	boat	333	14D	minecraft:boat	Boat
1.0.0	Leather	leather	leather	leather	334	14E	minecraft:leather	Leather
1.0.0	Milk Bucket	milk bucket	milk bucket	milk_bucket	335	14F	minecraft:milk_bucket	Milk
1.0.0	Brick	brick	brick	brick	336	150	minecraft:brick	Brick
1.0.0	Clay Ball	clay ball	clay ball	clay_ball	337	151	minecraft:clay_ball	Clay
1.0.0	Reeds	reeds	reeds	reeds	338	152	minecraft:reeds	Sugar Canes
