Version	Game ID	Nugget	Source Name	Mask Damage Per Use
1.3.2	1eY	Magnesium Nugget	Magnesium Ingot	128
1.3.2	1eZ	Titanium Nugget	Titanium Ingot	8
1.3.2	1f0	Manganese Nugget	Manganese Ingot	128
1.3.2	1f1	Cobalt Nugget	Cobalt Ingot	128
1.3.2	1f2	Nickel Nugget	Nickel Ingot	16
1.3.2	1f3	Copper Nugget	Copper Ingot	64
1.3.2	1f4	Zinc Nugget	Zinc Ingot	0
1.3.2	1f5	Palladium Nugget	Palladium Ingot	0
1.3.2	1f6	Silver Nugget	Silver Ingot	0
1.3.2	1f7	Antimony Nugget	Antimony Ingot	64
1.3.2	1f8	Tungsten Nugget	Tungsten Ingot	32
1.3.2	1f9	Platinum Nugget	Platinum Ingot	4
1.3.2	1fa	Plumbum (Lead) Nugget	Plumbum (Lead) Ingot	0
1.3.2	1fb	Bismuth Nugget	Bismuth Ingot	0
1.3.2	1fc	Aluminum Nugget	Aluminum Ingot	64
1.3.2	1fd	Steel Nugget	Steel Ingot	0
1.3.2	1fe	Stainless Steel Nugget	Stainless Steel Ingot	0
1.3.2	1ff	Brass Nugget	Brass Ingot	0
1.3.2	1fg	Bronze Nugget	Bronze Ingot	0
1.3.2	1fh	Tin Nugget	Tin Ingot	64
1.3.2	1fi	Chrome Nugget	Chrome Ingot	4
1.3.2	1fj	Tungsten Carbide Nugget	Tungsten Carbide Ingot	128
1.3.2	1fk	Nichrome Nugget	Nichrome Ingot	0
1.3.2	1fl	Antimony-Lead Nugget	Antimony-Lead Ingot	0
1.3.2	1fm	Silicon Nugget	Silicon Ingot	0
1.3.2	1fn	Mercury Sulfide Nugget	Mercury Sulfide Ingot	0
