# of Objects	Object	Ore	Ingot	Nugget	Compressed Block	Catalyst	Deprecated 1	Deprecated 2	Compound Small	Compound Medium	Compound Large	Compound Industrial	Compound Small(2)	Compound Medium(2)	Compound Large(2)	Compound Industrial(2)	Element Small	Element Medium	Element Large	Element Industrial	Bag (Pellets)	Sack (Pellets)	Powder Keg (Pellets)	Chemical Silo (Pellets)	Polymer Block	Polymer Slab	Polymer Stairs	Brick	Mold	Molded Item	Mask	Wafer	Electronics	DNA Sampler	Cell Culture Dish	Polycraft Headgear	Polycraft Chest	Polycraft Leggings	Polycraft Feet	Polycraft Hoe	Polycraft Spade	Polycraft Pickaxe	Polycraft Axe	Polycraft Sword	Inventory	Gripped Tool	Pogo Stick	Custom Object	Internal Object	Minecraft Item	Minecraft Block
4592	Object	Magnesium Ore	Magnesium Ingot	Magnesium Nugget	Block of Magnesium	Platinum Catalyst	Bag (PolyIsoPrene Pellets)	Vial (Crude Oil)	Flask (1,1,1,2-Tetrafluoroethane)	Cartridge (1,1,1,2-Tetrafluoroethane)	Canister (1,1,1,2-Tetrafluoroethane)	Chemical Tank (1,1,1,2-Tetrafluoroethane)	Vial (Antifreeze)	Beaker (Antifreeze)	Drum (Antifreeze)	Chemical Vat (Antifreeze)	Flask (Hydrogen)	Cartridge (Hydrogen)	Canister (Hydrogen)	Chemical Tank (Hydrogen)	Vial (Acrylic-Formaldehyde Resin)	Beaker (Acrylic-Formaldehyde Resin)	Drum (Acrylic-Formaldehyde Resin)	Chemical Vat (Acrylic-Formaldehyde Resin)	Block (AF Resin)	Slab (AF Resin)	Stairs (AF Resin)	ABS Brick (1 x 1)	Mold (Grip)	Grip (Natural Rubber)	Mask (Solar Cell)(PR Backplane)	Silicon Wafer	Solar Cell	DNA Sampler (Pig)	Cell Culture Dish (Pig)	Rubber Shower Cap	Rubber Shirt	Rubber Wading Pants	Rubber Booties	Composite Steel Hoe	Composite Steel Spade	Composite Steel Pickaxe	Composite Steel Axe	Composite Steel Sword	Tree Tap	Gripped Iron Shovel	Wooden Pogo Stick	Metal Screw	Oil	Iron Shovel	Air
26	Ore	Titanium Ore	Titanium Ingot	Titanium Nugget	Block of Titanium	Titanium Catalyst	Sack (PolyIsoPrene Pellets)	Beaker (Crude Oil)	Vial (1,1,1-Trichloroethane)	Beaker (1,1,1-Trichloroethane)	Drum (1,1,1-Trichloroethane)	Chemical Vat (1,1,1-Trichloroethane)	Bag (Chromia Alumina)	Sack (Chromia Alumina)	Powder Keg (Chromia Alumina)	Chemical Silo (Chromia Alumina)	Flask (Helium)	Cartridge (Helium)	Canister (Helium)	Chemical Tank (Helium)	Bag (Acrylonitrile-Butadiene-Styrene Pellets)	Sack (Acrylonitrile-Butadiene-Styrene Pellets)	Powder Keg (Acrylonitrile-Butadiene-Styrene Pellets)	Chemical Silo (Acrylonitrile-Butadiene-Styrene Pellets)	Block (ABS)	Slab (ABS)	Stairs (ABS)	ABS Brick (1 x 2)	Mold (Running Shoes)	Running Shoes (Walker)	Mask (Solar Cell)(PR Semiconductor)	Wafer (Solar Cell) (1 of 5)	Processor	DNA Sampler (Sheep)	Cell Culture Dish (Sheep)	Pleather Hat	Pleather Jacket	Pleather Pants	Pleather Shoes	Composite Stainless Steel Hoe	Composite Stainless Steel Spade	Composite Stainless Steel Pickaxe	Composite Stainless Steel Axe	Composite Stainless Steel Sword	Machining Mill	Gripped Iron Pickaxe	Stone Pogo Stick	Bucket (Crude Oil)	BlockLight	Iron Pickaxe	Stone
26	Ingot	Manganese Ore	Manganese Ingot	Manganese Nugget	Block of Manganese	Palladium Catalyst	Powder Keg (PolyIsoPrene Pellets)	Drum (Crude Oil)	Vial (1,3-Propanediol)	Beaker (1,3-Propanediol)	Drum (1,3-Propanediol)	Chemical Vat (1,3-Propanediol)	Vial (Acrylonitrile)	Beaker (Acrylonitrile)	Drum (Acrylonitrile)	Chemical Vat (Acrylonitrile)	Bag (Lithium)	Sack (Lithium)	Powder Keg (Lithium)	Chemical Silo (Lithium)	Vial (Alkyd Resin)	Beaker (Alkyd Resin)	Drum (Alkyd Resin)	Chemical Vat (Alkyd Resin)	Block (Alkyd Resin)	Slab (Alkyd Resin)	Stairs (Alkyd Resin)	ABS Brick (1 x 3)	Mold (Scuba Fins)	Rubber Sole (insole)	Mask (Solar Cell)(PR Dielectric)	Wafer (Solar Cell) (2 of 5)	Temperature Sensor	DNA Sampler (Cow)	Cell Culture Dish (Cow)	Water Resistant Cap	Water Resistant Vest	Water Resistant Tool Belt	Water Resistant Shoes	Composite Brass Hoe	Composite Brass Spade	Composite Brass Pickaxe	Composite Brass Axe	Composite Brass Sword	Extruder	Gripped Iron Axe	Iron Pogo Stick	Flame Tosser	BedrockOil	Iron Axe	Grass
29	Compressed Block	Cobalt Ore	Cobalt Ingot	Cobalt Nugget	Block of Cobalt	Cobalt Catalyst	Bag (Linear Low-Density PolyEthylene Pellets)	Vial (Naphthalene)	Vial (1,4-Butanediol)	Beaker (1,4-Butanediol)	Drum (1,4-Butanediol)	Chemical Vat (1,4-Butanediol)	Vial (Acetonitrile)	Beaker (Acetonitrile)	Drum (Acetonitrile)	Chemical Vat (Acetonitrile)	Bag (Beryllium)	Sack (Beryllium)	Powder Keg (Beryllium)	Chemical Silo (Beryllium)	Bag (Amorphous PolyEthylene Terephthalate Pellets)	Sack (Amorphous PolyEthylene Terephthalate Pellets)	Powder Keg (Amorphous PolyEthylene Terephthalate Pellets)	Chemical Silo (Amorphous PolyEthylene Terephthalate Pellets)	Block (A-PET)	Slab (A-PET)	Stairs (A-PET)	ABS Brick (1 x 4)	Mold (Scuba Mask)	Rubber Sole (midsole)	Mask (Solar Cell)(PR Traces)	Wafer (Solar Cell) (3 of 5)	Pressure Sensor	DNA Sampler (Chicken)	Cell Culture Dish (Chicken)	Kevlar Helmet	Kevlar Vest	Kevlar Pants	Kevlar Shoes	Composite Bronze Hoe	Composite Bronze Spade	Composite Bronze Pickaxe	Composite Bronze Axe	Composite Bronze Sword	Injection Molder	Gripped Iron Sword	Golden Pogo Stick	Flame Chucker	BlockPipe	Flint And Steel	Dirt
36	Catalyst	Nickel Ore	Nickel Ingot	Nickel Nugget	Block of Nickel	Manganese Catalyst	Sack (Linear Low-Density PolyEthylene Pellets)	Beaker (Naphthalene)	Vial (1,6-Hexamethylenediamine)	Beaker (1,6-Hexamethylenediamine)	Drum (1,6-Hexamethylenediamine)	Chemical Vat (1,6-Hexamethylenediamine)	Vial (Sweet Kerosene)	Beaker (Sweet Kerosene)	Drum (Sweet Kerosene)	Chemical Vat (Sweet Kerosene)	Bag (Boron)	Sack (Boron)	Powder Keg (Boron)	Chemical Silo (Boron)	Bag (Bromine Isobutylene-Isoprene Rubber Pellets)	Sack (Bromine Isobutylene-Isoprene Rubber Pellets)	Powder Keg (Bromine Isobutylene-Isoprene Rubber Pellets)	Chemical Silo (Bromine Isobutylene-Isoprene Rubber Pellets)	Block (BIIR)	Slab (BIIR)	Stairs (BIIR)	ABS Brick (2 x 2)	Mold (Gasket)	Rubber Sole (outsole)	Mask (Solar Cell)(PR Encapsulation)	Wafer (Solar Cell) (4 of 5)	Low Power Radio	DNA Sampler (Squid)	Cell Culture Dish (Squid)	Sparkling Headgear	Sparkling Chestplate	Sparkling Pants	Sparkling Shoes	Composite Tungsten Carbide Hoe	Composite Tungsten Carbide Spade	Composite Tungsten Carbide Pickaxe	Composite Tungsten Carbide Axe	Composite Tungsten Carbide Sword	Steam Cracker	Gripped Wooden Sword	Diamond Pogo Stick	Flame Hurler	BlockCollision	Apple	Cobblestone
121	Deprecated 1	Copper Ore	Copper Ingot	Copper Nugget	Block of Copper	Silver Catalyst	Powder Keg (Linear Low-Density PolyEthylene Pellets)	Drum (Naphthalene)	Vial (2-(2-Butoxyethoxy) Ethanol)	Beaker (2-(2-Butoxyethoxy) Ethanol)	Drum (2-(2-Butoxyethoxy) Ethanol)	Chemical Vat (2-(2-Butoxyethoxy) Ethanol)	Vial (Sweet Diesel)	Beaker (Sweet Diesel)	Drum (Sweet Diesel)	Chemical Vat (Sweet Diesel)	Bag (Carbon)	Sack (Carbon)	Powder Keg (Carbon)	Chemical Silo (Carbon)	Vial (Carbon Fiber)	Beaker (Carbon Fiber)	Drum (Carbon Fiber)	Chemical Vat (Carbon Fiber)	Block (Carbon Fiber)	Slab (Carbon Fiber)	Stairs (Carbon Fiber)	ABS Brick (2 x 3)	Mold (Life Preserver)	Running Shoes (Jogger)	Mask (Processor)(PR Backplane)	Wafer (Solar Cell)	DSP	DNA Sampler (Wolf)	Cell Culture Dish (Wolf)	Titan Head	Titan Body	Titan Legs	Titan Feet	Composite Nichrome Hoe	Composite Nichrome Spade	Composite Nichrome Pickaxe	Composite Nichrome Axe	Composite Nichrome Sword	Distillation Column	Gripped Wooden Shovel	Magic Pogo Stick	Flame Thrower	0	Bow	Planks
136	Deprecated 2	Zinc Ore	Zinc Ingot	Zinc Nugget	Block of Zinc	Mercury Catalyst	Bag (PolyPropylene Pellets)	Vial (Benzene-Toluene-Xylene)	Vial (2-(2-Ethoxyethoxy) Ethanol, Carbitol Cellosolve)	Beaker (2-(2-Ethoxyethoxy) Ethanol, Carbitol Cellosolve)	Drum (2-(2-Ethoxyethoxy) Ethanol, Carbitol Cellosolve)	Chemical Vat (2-(2-Ethoxyethoxy) Ethanol, Carbitol Cellosolve)	Vial (Lactide)	Beaker (Lactide)	Drum (Lactide)	Chemical Vat (Lactide)	Flask (Nitrogen)	Cartridge (Nitrogen)	Canister (Nitrogen)	Chemical Tank (Nitrogen)	Bag (Cellulose Triacetate Pellets)	Sack (Cellulose Triacetate Pellets)	Powder Keg (Cellulose Triacetate Pellets)	Chemical Silo (Cellulose Triacetate Pellets)	Block (CTAP)	Slab (CTAP)	Stairs (CTAP)	ABS Brick (2 x 4)	Metal Die (Fibers)	Scuba Fins (Beginner)	Mask (Processor)(PR n-Type Semiconductor)	Wafer (Processor) (1 of 8)	Digital Analog Convertor	DNA Sampler (Ocelot)	Cell Culture Dish (Ocelot)	Mangy Toupee	Mangy Coat	Mangy Bellbottoms	Mangy Feet	Composite Antimony-Lead Hoe	Composite Antimony-Lead Spade	Composite Antimony-Lead Pickaxe	Composite Antimony-Lead Axe	Composite Antimony-Lead Sword	Industrial Oven	Gripped Wooden Pickaxe	Gripped Wooden Pogo Stick	Flashlight	0	Arrow	Sapling
325	Compound Small	Palladium Ore	Palladium Ingot	Palladium Nugget	Block of Palladium	Rhodium Catalyst	Sack (PolyPropylene Pellets)	Beaker (Benzene-Toluene-Xylene)	Vial (2-(2-Methoxyethoxy) Ethanol, Methyl Carbitol)	Beaker (2-(2-Methoxyethoxy) Ethanol, Methyl Carbitol)	Drum (2-(2-Methoxyethoxy) Ethanol, Methyl Carbitol)	Chemical Vat (2-(2-Methoxyethoxy) Ethanol, Methyl Carbitol)	Bag (Cyclodextrin)	Sack (Cyclodextrin)	Powder Keg (Cyclodextrin)	Chemical Silo (Cyclodextrin)	Flask (Oxygen)	Cartridge (Oxygen)	Canister (Oxygen)	Chemical Tank (Oxygen)	Bag (Cellulosic Pellets)	Sack (Cellulosic Pellets)	Powder Keg (Cellulosic Pellets)	Chemical Silo (Cellulosic Pellets)	Block (Cellulose)	Slab (Cellulose)	Stairs (Cellulose)	ABS Brick (3 x 3)	Metal Die (Tether)	Scuba Mask (Beginner)	Mask (Processor)(PR p-Type Semiconductor)	Wafer (Processor) (2 of 8)	Amplifier	DNA Sampler (Bat)	Cell Culture Dish (Bat)	Blue Steel Helmet	Blue Steel Cuirass	Blue Steel Shins	Blue Steel Boots	Engineered Steel Hoe	Engineered Steel Spade	Engineered Steel Pickaxe	Engineered Steel Axe	Engineered Steel Sword	Flood Light	Gripped Wooden Axe	Gripped Stone Pogo Stick	Jet Pack (Beginner)	0	Coal	Bedrock
325	Compound Medium	Silver Ore	Silver Ingot	Silver Nugget	Block of Silver	Antimony Trioxide Catalyst	Powder Keg (PolyPropylene Pellets)	Drum (Benzene-Toluene-Xylene)	Vial (2,2-DiMethylButane)	Beaker (2,2-DiMethylButane)	Drum (2,2-DiMethylButane)	Chemical Vat (2,2-DiMethylButane)	Bag (Alpha-cyclodextrin)	Sack (Alpha-cyclodextrin)	Powder Keg (Alpha-cyclodextrin)	Chemical Silo (Alpha-cyclodextrin)	Flask (Fluorine)	Cartridge (Fluorine)	Canister (Fluorine)	Chemical Tank (Fluorine)	Bag (Chitin Pellets)	Sack (Chitin Pellets)	Powder Keg (Chitin Pellets)	Chemical Silo (Chitin Pellets)	Block (Chitin)	Slab (Chitin)	Stairs (Chitin)	ABS Brick (3 x 4)	Metal Die (Cord)	Gasket (Low Pressure)	Mask (Processor)(PR Dielectric)	Wafer (Processor) (3 of 8)	OLED Array	DNA Sampler (Spider)	Cell Culture Dish (Spider)	Jeffersonian Wig	Jeffersonian Culet	Jeffersonian Knickers	Jeffersonian Sabaton a la Poulaine	Engineered Stainless Steel Hoe	Engineered Stainless Steel Spade	Engineered Stainless Steel Pickaxe	Engineered Stainless Steel Axe	Engineered Stainless Steel Sword	Chemical Processor	Gripped Stone Sword	Gripped Iron Pogo Stick	Parachute	0	Diamond	Flowing Water
325	Compound Large	Antimony Ore	Antimony Ingot	Antimony Nugget	Block of Antimony	Copper II Chloride Catalyst	Bag (Cellulose Triacetate Pellets)	Vial (Gas Oil)	Vial (2,3-DiMethylButane)	Beaker (2,3-DiMethylButane)	Drum (2,3-DiMethylButane)	Chemical Vat (2,3-DiMethylButane)	Bag (Beta-cyclodextrin)	Sack (Beta-cyclodextrin)	Powder Keg (Beta-cyclodextrin)	Chemical Silo (Beta-cyclodextrin)	Flask (Neon)	Cartridge (Neon)	Canister (Neon)	Chemical Tank (Neon)	Bag (Chlorine Isobutylene-Isoprene Rubber Pellets)	Sack (Chlorine Isobutylene-Isoprene Rubber Pellets)	Powder Keg (Chlorine Isobutylene-Isoprene Rubber Pellets)	Chemical Silo (Chlorine Isobutylene-Isoprene Rubber Pellets)	Block (CIIR)	Slab (CIIR)	Stairs (CIIR)	ABS Brick (4 x 4)	Metal Die (Hose)	Life Preserver (Natural Rubber)	Mask (Processor)(PR Inner Traces)	Wafer (Processor) (4 of 8)	0	DNA Sampler (Zombie)	Cell Culture Dish (Zombie)	Copper Cap	Copper Culet	Copper Cuisse	Copper Boots	Engineered Brass Hoe	Engineered Brass Spade	Engineered Brass Pickaxe	Engineered Brass Axe	Engineered Brass Sword	Oil Derrick	Gripped Stone Shovel	Gripped Golden Pogo Stick	Laser	0	Iron Ingot	Water
325	Compound Industrial	Tungsten Ore	Tungsten Ingot	Tungsten Nugget	Block of Tungsten	Iron III Chloride Catalyst	Bag (Cellulosic Pellets)	Beaker (Gas Oil)	Vial (2-Benzyloxyethanol)	Beaker (2-Benzyloxyethanol)	Drum (2-Benzyloxyethanol)	Chemical Vat (2-Benzyloxyethanol)	Bag (Gamma-cyclodextrin)	Sack (Gamma-cyclodextrin)	Powder Keg (Gamma-cyclodextrin)	Chemical Silo (Gamma-cyclodextrin)	Bag (Sodium)	Sack (Sodium)	Powder Keg (Sodium)	Chemical Silo (Sodium)	Vial (Epoxy Resin)	Beaker (Epoxy Resin)	Drum (Epoxy Resin)	Chemical Vat (Epoxy Resin)	Block (Epoxy Resin)	Slab (Epoxy Resin)	Stairs (Epoxy Resin)	ABS Brick (1 x 8)	Metal Die (Pipe Segment)	Tether (Natural Rubber)	Mask (Processor)(PR Through Vias)	Wafer (Processor) (5 of 8)	0	DNA Sampler (Skeleton)	Cell Culture Dish (Skeleton)	Zinc-Plated Helmet	Zinc-Plated Plackart	Zinc-Plated Chausses	Zinc-Plated Sabatons	Engineered Bronze Hoe	Engineered Bronze Spade	Engineered Bronze Pickaxe	Engineered Bronze Axe	Engineered Bronze Sword	Plastic Chest	Gripped Stone Pickaxe	Gripped Diamond Pogo Stick	Phase Shifter	0	Gold Ingot	Flowing Lava
