Version	Game ID	Base Item	Base Material	Item Name	Base Material	Durability Buff	Speed Buff	Level	First Release	Notes
2.0.0	1M	Hoe	Steel		Iron					
2.0.0	1N	Sword	Steel		Iron					
2.0.0	1O	Spade	Steel		Iron					
2.0.0	1P	Pickaxe	Steel		Iron					
2.0.0	1Q	Axe	Steel		Iron					
2.0.0	1R	Knife	Steel		Iron					
2.0.0	1S		Steel		Iron					
2.0.0	1T		Steel		Iron					
2.0.0	1U		Steel		Iron					
2.0.0	1V		Stainless Steel							
2.0.0	1W									
2.0.0	1X									
2.0.0	22									
2.0.0	23									
2.0.0	24									
2.0.0	25									
2.0.0	26									
2.0.0	27									
2.0.0	28									
2.0.0	29									
2.0.0	2a									
2.0.0	2b									
2.0.0	2c									
2.0.0	2d									
2.0.0	2e									
2.0.0	2f									
2.0.0	2g									
2.0.0	2h									
2.0.0	2i									
2.0.0	2j									
2.0.0	2k									
2.0.0	2l									
2.0.0	2m									
2.0.0	2n									
2.0.0	2o									
2.0.0	2p									
2.0.0	2q									
2.0.0	2r									
2.0.0	2s									
2.0.0	2t									
