Version	Game ID	Fibers	Source	Version
1.0.8	GD	Fibers (af resin)	Sack (Acrylic-Formaldehyde Pellets)	af resin
1.0.8	GE	Fibers (ABS)	Sack (Acrylonitrile-Butadiene-Styrene Pellets)	ABS
1.0.8	GF	Fibers (alkyd resin)	Sack (Alkyd Resin Pellets)	alkyd resin
1.0.8	GG	Fibers (A-PET)	Sack (Amorphous PolyEthylene Terephthalate Pellets)	A-PET
1.0.8	GH	Fibers (BIIR)	Sack (Bromine Isobutylene-Isoprene Rubber Pellets)	BIIR
1.0.8	GI	Fibers (CDAP)	Sack (Cellulose Diacetate Pellets)	CDAP
1.0.8	GJ	Fibers (CTAP)	Sack (Cellulose Triacetate Pellets)	CTAP
1.0.8	GK	Fibers (cellulose)	Sack (Cellulosic Pellets)	cellulose
1.0.8	GL	Fibers (chitin)	Sack (Chitin Pellets)	chitin
1.0.8	GM	Fibers (CIIR)	Sack (Chlorine Isobutylene-Isoprene Rubber Pellets)	CIIR
1.0.8	GN	Fibers (epoxy resin)	Sack (Epoxy Resin Pellets)	epoxy resin
1.0.8	GO	Fibers (NRE)	Sack (Ethoxylates Pellets)	NRE
1.0.8	GP	Fibers (EPM)	Sack (Ethylene-Propylene Monomer Pellets)	EPM
1.0.8	GQ	Fibers (EPM)	Sack (Ethylene-Propylene-Diene Monomer Pellets)	EPM
1.0.8	GR	Fibers (EVA)	Sack (Ethylene-Vinyl Acetate Pellets)	EVA
1.0.8	GS	Fibers (HDPE)	Sack (High Density PolyEthylene Pellets)	HDPE
1.0.8	GT	Fibers (HNBR)	Sack (Hydrogenated Nitrile-Butadiene Rubber Pellets)	HNBR
1.0.8	GU	Fibers (IIR)	Sack (Isobutylene-Isoprene Rubber Pellets)	IIR
1.0.8	GV	Fibers (lignin)	Sack (Lignin Pellets)	lignin
1.0.8	GW	Fibers (LLDPE)	Sack (Linear Low-Density PolyEthylene Pellets)	LLDPE
1.0.8	GX	Fibers (LCP)	Sack (Liquid Crystal Polymer Pellets)	LCP
1.0.8	GY	Fibers (LDPE)	Sack (Low Density PolyEthylene Pellets)	LDPE
1.0.8	GZ	Fibers (MDPE)	Sack (Medium Density PolyEthylene Pellets)	MDPE
1.0.8	H0	Fibers (MFP)	Sack (Melamine-Formaldehyde Polymers Pellets)	MFP
