Version	Game ID S	Game ID M	Game ID L	Game ID XL	Bag (Pellets)	Sack (Pellets)	Powder Keg (Pellets)	Chemical Silo (Pellets)	Pellets	Crafting Min Index	Crafting Max Index	Short Name	Thermoplastic
	zh	B7	CX	EN	Flask (Acrylic-Formaldehyde Resin)	Cartridge (Acrylic-Formaldehyde Resin)	Canister (Acrylic-Formaldehyde Resin)	Chemical Tank (Acrylic-Formaldehyde Resin)	Acrylic-Formaldehyde Resin	1	10	AF Resin	FALSE
1.0.0	zi	B8	CY	EO	Bag (Acrylonitrile-Butadiene-Styrene Pellets)	Sack (Acrylonitrile-Butadiene-Styrene Pellets)	Powder Keg (Acrylonitrile-Butadiene-Styrene Pellets)	Chemical Silo (Acrylonitrile-Butadiene-Styrene Pellets)	Acrylonitrile-Butadiene-Styrene	1	10	ABS	TRUE
	zj	B9	CZ	EP	Flask (Alkyd Resin)	Cartridge (Alkyd Resin)	Canister (Alkyd Resin)	Chemical Tank (Alkyd Resin)	Alkyd Resin	1	10	Alkyd Resin	FALSE
1.0.0	zk	Ba	D0	EQ	Bag (Amorphous PolyEthylene Terephthalate Pellets)	Sack (Amorphous PolyEthylene Terephthalate Pellets)	Powder Keg (Amorphous PolyEthylene Terephthalate Pellets)	Chemical Silo (Amorphous PolyEthylene Terephthalate Pellets)	Amorphous PolyEthylene Terephthalate	1	10	A-PET	TRUE
1.1.0	zl	Bb	D1	ER	Bag (Bromine Isobutylene-Isoprene Rubber Pellets)	Sack (Bromine Isobutylene-Isoprene Rubber Pellets)	Powder Keg (Bromine Isobutylene-Isoprene Rubber Pellets)	Chemical Silo (Bromine Isobutylene-Isoprene Rubber Pellets)	Bromine Isobutylene-Isoprene Rubber	1	10	BIIR	TRUE
	zm	Bc	D2	ES	Bag (Cellulose Diacetate Pellets)	Sack (Cellulose Diacetate Pellets)	Powder Keg (Cellulose Diacetate Pellets)	Chemical Silo (Cellulose Diacetate Pellets)	Cellulose Diacetate	1	10	CDAP	TRUE
	zn	Bd	D3	ET	Bag (Cellulose Triacetate Pellets)	Sack (Cellulose Triacetate Pellets)	Powder Keg (Cellulose Triacetate Pellets)	Chemical Silo (Cellulose Triacetate Pellets)	Cellulose Triacetate	1	10	CTAP	TRUE
1.0.0	zo	Be	D4	EU	Bag (Cellulosic Pellets)	Sack (Cellulosic Pellets)	Powder Keg (Cellulosic Pellets)	Chemical Silo (Cellulosic Pellets)	Cellulosic	1	10	Cellulose	TRUE
	zp	Bf	D5	EV	Bag (Chitin Pellets)	Sack (Chitin Pellets)	Powder Keg (Chitin Pellets)	Chemical Silo (Chitin Pellets)	Chitin	1	10	Chitin	TRUE
1.1.0	zq	Bg	D6	EW	Bag (Chlorine Isobutylene-Isoprene Rubber Pellets)	Sack (Chlorine Isobutylene-Isoprene Rubber Pellets)	Powder Keg (Chlorine Isobutylene-Isoprene Rubber Pellets)	Chemical Silo (Chlorine Isobutylene-Isoprene Rubber Pellets)	Chlorine Isobutylene-Isoprene Rubber	1	10	CIIR	TRUE
	zr	Bh	D7	EX	Flask (Epoxy Resin)	Cartridge (Epoxy Resin)	Canister (Epoxy Resin)	Chemical Tank (Epoxy Resin)	Epoxy Resin	1	10	Epoxy Resin	FALSE
	zs	Bi	D8	EY	Bag (Ethoxylates Pellets)	Sack (Ethoxylates Pellets)	Powder Keg (Ethoxylates Pellets)	Chemical Silo (Ethoxylates Pellets)	Ethoxylates	1	10	NRE	TRUE
1.1.0	zt	Bj	D9	EZ	Bag (Ethylene-Propylene Monomer Pellets)	Sack (Ethylene-Propylene Monomer Pellets)	Powder Keg (Ethylene-Propylene Monomer Pellets)	Chemical Silo (Ethylene-Propylene Monomer Pellets)	Ethylene-Propylene Monomer	1	10	EPM	TRUE
1.1.0	zu	Bk	Da	F0	Bag (Ethylene-Propylene-Diene Monomer Pellets)	Sack (Ethylene-Propylene-Diene Monomer Pellets)	Powder Keg (Ethylene-Propylene-Diene Monomer Pellets)	Chemical Silo (Ethylene-Propylene-Diene Monomer Pellets)	Ethylene-Propylene-Diene Monomer	1	10	EPDM	TRUE
1.1.0	zv	Bl	Db	F1	Bag (Ethylene-Vinyl Acetate Pellets)	Sack (Ethylene-Vinyl Acetate Pellets)	Powder Keg (Ethylene-Vinyl Acetate Pellets)	Chemical Silo (Ethylene-Vinyl Acetate Pellets)	Ethylene-Vinyl Acetate	1	10	EVA	TRUE
1.0.0	zw	Bm	Dc	F2	Bag (High Density PolyEthylene Pellets)	Sack (High Density PolyEthylene Pellets)	Powder Keg (High Density PolyEthylene Pellets)	Chemical Silo (High Density PolyEthylene Pellets)	High Density PolyEthylene	1	10	HDPE	TRUE
1.1.0	zx	Bn	Dd	F3	Bag (Hydrogenated Nitrile-Butadiene Rubber Pellets)	Sack (Hydrogenated Nitrile-Butadiene Rubber Pellets)	Powder Keg (Hydrogenated Nitrile-Butadiene Rubber Pellets)	Chemical Silo (Hydrogenated Nitrile-Butadiene Rubber Pellets)	Hydrogenated Nitrile-Butadiene Rubber	1	10	HNBR	TRUE
1.1.0	zy	Bo	De	F4	Bag (Isobutylene-Isoprene Rubber Pellets)	Sack (Isobutylene-Isoprene Rubber Pellets)	Powder Keg (Isobutylene-Isoprene Rubber Pellets)	Chemical Silo (Isobutylene-Isoprene Rubber Pellets)	Isobutylene-Isoprene Rubber	1	10	IIR	TRUE
	zz	Bp	Df	F5	Flask (Lignin)	Cartridge (Lignin)	Canister (Lignin)	Chemical Tank (Lignin)	Lignin	1	10	Lignin	FALSE
1.0.0	zA	Bq	Dg	F6	Bag (Linear Low-Density PolyEthylene Pellets)	Sack (Linear Low-Density PolyEthylene Pellets)	Powder Keg (Linear Low-Density PolyEthylene Pellets)	Chemical Silo (Linear Low-Density PolyEthylene Pellets)	Linear Low-Density PolyEthylene	1	10	LLDPE	TRUE
1.0.0	zB	Br	Dh	F7	Bag (Liquid Crystal Polymer Pellets)	Sack (Liquid Crystal Polymer Pellets)	Powder Keg (Liquid Crystal Polymer Pellets)	Chemical Silo (Liquid Crystal Polymer Pellets)	Liquid Crystal Polymer	1	10	LCP	TRUE
1.0.0	zC	Bs	Di	F8	Bag (Low Density PolyEthylene Pellets)	Sack (Low Density PolyEthylene Pellets)	Powder Keg (Low Density PolyEthylene Pellets)	Chemical Silo (Low Density PolyEthylene Pellets)	Low Density PolyEthylene	1	10	LDPE	TRUE
1.0.0	zD	Bt	Dj	F9	Bag (Medium Density PolyEthylene Pellets)	Sack (Medium Density PolyEthylene Pellets)	Powder Keg (Medium Density PolyEthylene Pellets)	Chemical Silo (Medium Density PolyEthylene Pellets)	Medium Density PolyEthylene	1	10	MDPE	TRUE
	zE	Bu	Dk	Fa	Flask (Melamine-Formaldehyde Polymers)	Cartridge (Melamine-Formaldehyde Polymers)	Canister (Melamine-Formaldehyde Polymers)	Chemical Tank (Melamine-Formaldehyde Polymers)	Melamine-Formaldehyde Polymers	1	10	MFP	FALSE
1.0.0	zF	Bv	Dl	Fb	Bag (Metaldehyde Pellets)	Sack (Metaldehyde Pellets)	Powder Keg (Metaldehyde Pellets)	Chemical Silo (Metaldehyde Pellets)	Metaldehyde	1	10	MALD	TRUE
1.1.0	zG	Bw	Dm	Fc	Bag (Nitrile-Butadiene Rubber Pellets)	Sack (Nitrile-Butadiene Rubber Pellets)	Powder Keg (Nitrile-Butadiene Rubber Pellets)	Chemical Silo (Nitrile-Butadiene Rubber Pellets)	Nitrile-Butadiene Rubber	1	10	NBR	TRUE
1.0.0	zH	Bx	Dn	Fd	Bag (Paraformaldehyde Pellets)	Sack (Paraformaldehyde Pellets)	Powder Keg (Paraformaldehyde Pellets)	Chemical Silo (Paraformaldehyde Pellets)	Paraformaldehyde	1	10	PFA	TRUE
1.0.0	zI	By	Do	Fe	Bag (Paraldehyde Pellets)	Sack (Paraldehyde Pellets)	Powder Keg (Paraldehyde Pellets)	Chemical Silo (Paraldehyde Pellets)	Paraldehyde	1	10	PALD	TRUE
	zJ	Bz	Dp	Ff	Flask (Phenolic Resin)	Cartridge (Phenolic Resin)	Canister (Phenolic Resin)	Chemical Tank (Phenolic Resin)	Phenolic Resin	1	10	Phenol Formaldehydes	FALSE
1.0.0	zK	BA	Dq	Fg	Bag (Poly(3-Hydroxybutyrate-Co-3-Hydroxyvalerate) Pellets)	Sack (Poly(3-Hydroxybutyrate-Co-3-Hydroxyvalerate) Pellets)	Powder Keg (Poly(3-Hydroxybutyrate-Co-3-Hydroxyvalerate) Pellets)	Chemical Silo (Poly(3-Hydroxybutyrate-Co-3-Hydroxyvalerate) Pellets)	Poly(3-Hydroxybutyrate-Co-3-Hydroxyvalerate)	1	10	PHBV	TRUE
	zL	BB	Dr	Fh	Bag (Poly1-Butene Pellets)	Sack (Poly1-Butene Pellets)	Powder Keg (Poly1-Butene Pellets)	Chemical Silo (Poly1-Butene Pellets)	Poly1-Butene	1	10	P1B	TRUE
	zM	BC	Ds	Fi	"Bag (Poly2,6-Dimethyl-1,4-Phenylene Ether Pellets)"	"Sack (Poly2,6-Dimethyl-1,4-Phenylene Ether Pellets)"	"Powder Keg (Poly2,6-Dimethyl-1,4-Phenylene Ether Pellets)"	"Chemical Silo (Poly2,6-Dimethyl-1,4-Phenylene Ether Pellets)"	"Poly2,6-Dimethyl-1,4-Phenylene Ether"	1	10	PDPE	TRUE
	zN	BD	Dt	Fj	Bag (Poly-2-Hydroxy Butyrate Pellets)	Sack (Poly-2-Hydroxy Butyrate Pellets)	Powder Keg (Poly-2-Hydroxy Butyrate Pellets)	Chemical Silo (Poly-2-Hydroxy Butyrate Pellets)	Poly-2-Hydroxy Butyrate	1	10	PHB	TRUE
	zO	BE	Du	Fk	Bag (Poly2-Hydroxyethyl Methacrylate Pellets)	Sack (Poly2-Hydroxyethyl Methacrylate Pellets)	Powder Keg (Poly2-Hydroxyethyl Methacrylate Pellets)	Chemical Silo (Poly2-Hydroxyethyl Methacrylate Pellets)	Poly2-Hydroxyethyl Methacrylate	1	10	PHEMA	TRUE
	zP	BF	Dv	Fl	Bag (PolyAcrylic Ester Pellets)	Sack (PolyAcrylic Ester Pellets)	Powder Keg (PolyAcrylic Ester Pellets)	Chemical Silo (PolyAcrylic Ester Pellets)	PolyAcrylic Ester	1	10	PAE	TRUE
1.0.0	zQ	BG	Dw	Fm	Bag (PolyAcrylonitrile Pellets)	Sack (PolyAcrylonitrile Pellets)	Powder Keg (PolyAcrylonitrile Pellets)	Chemical Silo (PolyAcrylonitrile Pellets)	PolyAcrylonitrile	1	10	PAN	TRUE
1.0.0	zR	BH	Dx	Fn	Bag (PolyButadiene Pellets)	Sack (PolyButadiene Pellets)	Powder Keg (PolyButadiene Pellets)	Chemical Silo (PolyButadiene Pellets)	PolyButadiene	1	10	PBD	TRUE
1.1.0	zS	BI	Dy	Fo	Bag (PolyButadiene Rubber Pellets)	Sack (PolyButadiene Rubber Pellets)	Powder Keg (PolyButadiene Rubber Pellets)	Chemical Silo (PolyButadiene Rubber Pellets)	PolyButadiene Rubber	1	10	PBR	TRUE
1.0.0	zT	BJ	Dz	Fp	Bag (PolyButylene Succinate Pellets)	Sack (PolyButylene Succinate Pellets)	Powder Keg (PolyButylene Succinate Pellets)	Chemical Silo (PolyButylene Succinate Pellets)	PolyButylene Succinate	1	10	PBS	TRUE
1.0.0	zV	BL	DB	Fr	Bag (PolyButylene Terephthalate Pellets)	Sack (PolyButylene Terephthalate Pellets)	Powder Keg (PolyButylene Terephthalate Pellets)	Chemical Silo (PolyButylene Terephthalate Pellets)	PolyButylene Terephthalate	1	10	PBT	TRUE
1.0.0	zW	BM	DC	Fs	Bag (PolyCaprolactone Pellets)	Sack (PolyCaprolactone Pellets)	Powder Keg (PolyCaprolactone Pellets)	Chemical Silo (PolyCaprolactone Pellets)	PolyCaprolactone	1	10	PCL	TRUE
1.0.0	zX	BN	DD	Ft	Bag (PolyCarbonate Pellets)	Sack (PolyCarbonate Pellets)	Powder Keg (PolyCarbonate Pellets)	Chemical Silo (PolyCarbonate Pellets)	PolyCarbonate	1	10	PC	TRUE
	zY	BO	DE	Fu	Bag (PolyChloroPrene Pellets)	Sack (PolyChloroPrene Pellets)	Powder Keg (PolyChloroPrene Pellets)	Chemical Silo (PolyChloroPrene Pellets)	PolyChloroPrene	1	10	PCHL	TRUE
	zZ	BP	DF	Fv	Bag (PolyChlorotrifluoroethylene Pellets)	Sack (PolyChlorotrifluoroethylene Pellets)	Powder Keg (PolyChlorotrifluoroethylene Pellets)	Chemical Silo (PolyChlorotrifluoroethylene Pellets)	PolyChlorotrifluoroethylene	1	10	PCTFE	TRUE
1.0.0	A0	BQ	DG	Fw	Bag (PolyDiMethylSiloxane Pellets)	Sack (PolyDiMethylSiloxane Pellets)	Powder Keg (PolyDiMethylSiloxane Pellets)	Chemical Silo (PolyDiMethylSiloxane Pellets)	PolyDiMethylSiloxane	1	10	PDMS	TRUE
1.0.0	A1	BR	DH	Fx	Bag (PolyEther Ether Ketone Pellets)	Sack (PolyEther Ether Ketone Pellets)	Powder Keg (PolyEther Ether Ketone Pellets)	Chemical Silo (PolyEther Ether Ketone Pellets)	PolyEther Ether Ketone	1	10	PEEK	TRUE
