Recycling #	Polymer Blocks	Short Name	Polymer Class	Associated Fiber	Associated Pellets	Link To Easy	Degradable	Notes	Solvent	Major Item 1	Major Item 2	Major Item 3	Major Item 4	Major Item 5	Major Item 6	Major Item 7	Major Item 8	Major Item 9	Major Item 10	Major Item 11	Major Item 12	Major Item 13	Major Item 14	Major Item 15	Major Item 16	Major Item 17	Major Item 18	Major Item 19	Major Item 20	Major Item 21	Major Item 22	Major Item 23	Major Item 24	Major Item 25
0	Nylon	N	Polyamide	Fiber (Nylon)	Pellets (Nylon)	Specialty Polymers	FALSE			Flak Vest	Parachute	Stockings	Bridal Veil	Rope [+5]	Plastic Gears	Spudger	Poncho	Glock Pistol Frame	Guitar Strings	Airbag	Conveyor Belt	Suitcase	Hot Air Balloon [+3]	Bungee Cord										
0	Kevlar	K	Polyamide	Fiber (Kevlar)	Pellets (Kevlar)	Specialty Polymers	FALSE			Kevlar Vest	Kevlar Pants	Racing Tires	Brake linings	Vehicle Armor	Superconducting Magnet	Ballistic Face Mask		Motorcycle jacket	Crossbow string	Sailcloth [+9]		Running Shoes [+9]	Loudspeaker cones	Fire dancing wicks	Suspension Bridge Cables	Smartphone	Kevlar-Epoxy Matrix Composite							
0	PolyOxymethylene	POM	Polyether	Fiber (PolyOxymethylene)	Pellets (PolyOxymethylene)	Specialty Polymers	FALSE			Grips	Ski Bindings	Rifle Stock	Pump	Paintball gun	Zipper	Guitar Pick	Bagpipe	Drumsticks [tips]	Coffee Brewer	Yo-Yo	Aerosol Can	Car Door Locks	Car Buttons	Plastic Gears										
0	Natural Rubber	NR	Rubber	Fiber (Natural Rubber)	Pellets (Natural Rubber)	Rubber	FALSE		turpentine, naphtha	Running Shoes [+5]	Tires	Gaskets	Conveyor Belts	Windshield Wipers	Balloons	Bungee Cord																		
0	PolyMethyl Methacrylate	PMMA	Polyacrylate	Fiber (PolyMethyl Methacrylate)	Pellets (PolyMethyl Methacrylate)	PolyCarbonate	FALSE		acetone	Sound Wall	Vehicle Headlight Casing	Acrylic Pane	Vehicle Windshield	Acrylic Slab	Sunglasses	Scuba Mask	Ocarina	Riot Shield 	RC Helicopter 	Phone Case 	Lens	Contact Lens	Acrylic Paint	Photoresist	Blacklight Ink	Acrylic Drum	Acrylic Guitar							
0	Thermoplastic Polyurethane	TPU	Polyurethane	Fiber (Thermoplastic Polyurethane)	Pellets (Thermoplastic Polyurethane)	Specialty Polymers	FALSE	And PVC items [+2]		Car Instrument Panel	Castor Wheel	Drive Belt	Inflatable Raft	Flippers [+3]																				
0	Spandex	SPX	Polyurethane	Fiber (Spandex)	Pellets (Spandex)	Specialty Polymers	FALSE			Spandex Pants	Spandex Bra	Spandex Shirt	Ski Pants	Wetsuit																				
0	Zylon	Z	Polyoxazole	Fiber (Zylon)	Pellets (Zylon)	Specialty Polymers	FALSE			Drive Belt [+9]	Standing Rigging [+7]	Shroud	Stay	Superpressure Balloon	Rocketship	Flippers [+5]																		
0	Ultra-High-Molecular-Weight PolyEthylene 	UHMWPE	Polyolefin	Fiber (Ultra-High-Molecular-Weight PolyEthylene )	Pellets (Ultra-High-Molecular-Weight PolyEthylene )	High-Density PolyEthylene	FALSE			Armored Vest [+9]	Armored Pants [+9]	Armored Boots [+9]	Armored Hat [+9]	Armored Car [+9]	Armored Tank [+9]	Armored Bobcat [+9]	Armored Jeep[+9]	Armored Buldozer [+9]	Armored Helicopter [+9]	Spearline	Sailcloth [+9]	Parachute	Paraglider	Standing Rigging [+9]	Kite	Wakeboard	Skis	Snowboard						
0	PolyEther Ether Ketone	PEEK	Polyaryletherketone	Fiber (PolyEther Ether Ketone)	Pellets (PolyEther Ether Ketone)	Specialty Polymers	FALSE			Piston	Pump	HPLC Cloumn	Valve	Bearing	Bushing	Rocketship																		
0	PolyImide	PI	Polyimide	Fiber (PolyImide)	Pellets (PolyImide)	Specialty Polymers	FALSE			Flexible Connector	Photoresist	Hot Gas Filter	Water Filter	Solar Sails	Car Struts	Car Chassis	Flexible Electronics																	
0	PolyTetrafluoroethylene	PTFE	Fluoropolymer	Fiber (PolyTetrafluoroethylene)	Pellets (PolyTetrafluoroethylene)	Specialty Polymers	FALSE			Pot	Frying Pan	Pipe [nuclear]	Bearing	Gear	Slideplate	Armor Piercing Bullets																		
1	PolyEthylene Terephthalate	PET	Polyester	Fiber (PolyEthylene Terephthalate)	Pellets (PolyEthylene Terephthalate)	PolyEthylene Terephthalate	FALSE	From Easy		Plastic Bottle	Sailcloth	Wrinkle-Free Pants	Wrinkle-Free Shirts	Pillow	Polyester Spray	Gasoline Containers	Hot Air Balloon	Bouncy Castle	Seatbelts	Fishnets	Waterhose													
2	High-Density PolyEthylene	HDPE	Polyolefin	Fiber (High-Density PolyEthylene)	Pellets (High-Density PolyEthylene)	High-Density PolyEthylene	FALSE	From Easy		Backpack Frame	Fuel Tank	Folding Chairs	Folding Tables	Hard Hat	Hoola Hoop	Running Shoes [+3]	Pipes	Fireworks	Snowboard Rails															
3	PolyVinyl Chloride	PVC	Polyolefin	Fiber (PolyVinyl Chloride)	Pellets (PolyVinyl Chloride)	PolyVinyl Chloride	FALSE	From Easy		Pipe	Cable Insulation	Vinyl Siding	Plastic Sign	Pleather Pants	Pleather Shirt	Pleather Shoes [-1]	Pleather Hat	Vinyl Slab	Record															
4	Low-Density PolyEthylene	LDPE	Polyolefin	Fiber (Low-Density PolyEthylene)	Pellets (Low-Density PolyEthylene)	Low-Density PolyEthylene	FALSE	From Easy		Tupperware	Plastic Bags	Plastic Chest	Computer Case	Milk Jug	Slides																			
5	PolyPropylene	PP	Polyolefin	Fiber (PolyPropylene)	Pellets (PolyPropylene)	PolyPropylene	FALSE	From Easy		Plastic Sign	Tupperware	Plastic Chest	Car Battery Case	WasteBasket	Carpet	Colored Sticker	Rope	Plastic Lead	Plastic bottle cap	Loudspeaker Drive Unit	Polypropylene Drum	Diapers	Plastic Filters	Longjohn Pants	LongJohn Shirt	Beanie	Wingsuit	Paraglider						
6	PolyStyrene	PS	Polyolefin	Fiber (PolyStyrene)	Pellets (PolyStyrene)	PolyStyrene	FALSE	From Easy		Napalm	Styrofoam	Refrigerator 	Petri Dish	CD "Jewel" Case	Smoke Detector	Picture Frames	Plastic Cups																	
7	PolyCarbonate	PC	Polycarbonate	Fiber (PolyCarbonate)	Pellets (PolyCarbonate)	PolyCarbonate	FALSE	From Easy		Bulletproof Vest	Capacitor Dielectric	CD	DVD		Sound Wall [+3]	Vehicle Headlight Casing [+3]	Bullet-Proof Glass	Vehicle Windshield [+3]	Plane Cockpit	Sunglasses [+3]	Scuba Mask [+3]	Ocarina [+3]	Riot Shield  [+3]	RC Helicopter  [+3]	Phone Case  [+3]									
7	Acrylonitrile-Butadiene-Styrene	ABS	Polymer Composite	Fiber (Acrylonitrile-Butadiene-Styrene)	Pellets (Acrylonitrile-Butadiene-Styrene)	ABS	FALSE	From Easy		Car Bumper	L-Bricks (1x1)	L-Bricks (1x2)	L-Bricks (1x3)	L-Bricks (2x2)	L-Bricks (2x3)	L-Bricks (3x3)		Flashlight																
10	Lignin	L	Cellulosic	Fiber (Lignin)	Pellets (Lignin)	Natural Polymers	FALSE																											
10	PolyVinyl Alcohol	PVA	Polyol	Fiber (PolyVinyl Alcohol)	Pellets (PolyVinyl Alcohol)	Natural Polymers	TRUE																											
10	PolyLactic Acid	PLA	Polyester	Fiber (PolyLactic Acid)	Pellets (PolyLactic Acid)	Natural Polymers	TRUE																											
10	PolyHydroxyalkanoate	PHA	Polyester	Fiber (PolyHydroxyalkanoate)	Pellets (PolyHydroxyalkanoate)	Natural Polymers	TRUE																											
0	Kevlar-Epoxy Matrix Composite	KEMC	Polymer Composite	Fiber (Kevlar-Epoxy Matrix Composite)	Pellets (Kevlar-Epoxy Matrix Composite)	Specialty Polymers	FALSE			Helicopter Blades	Wind Turbine Blades	Combat Helmet	Canoes [+9]	Kayak [+9]	Hockey stick [+9]	Cricket bat [+9]																		
0	Liquid Crystal Polymer	LCP	Polyester	Fiber (Liquid Crystal Polymer)	Pellets (Liquid Crystal Polymer)	Specialty Polymers	FALSE																											
0	Styrene-Butadiene Rubber	SBR	Rubber	Fiber (Styrene-Butadiene Rubber)	Pellets (Styrene-Butadiene Rubber)	Rubber	FALSE			Scuba Fins[+5]	Scuba Mask [+2]	Running Shoes [+7]	Gaskets [+2]	Tires [+2]																				
