Version	Block Game ID	Item Game ID	Stairs	Source	Version	Bounce Height
0	Xb	Z1	Stairs (Acrylic-Formaldehyde)	Block (Acrylic-Formaldehyde)	Acrylic-Formaldehyde	0
1.0.0	Xc	Z2	Stairs (Acrylonitrile-Butadiene-Styrene)	Block (Acrylonitrile-Butadiene-Styrene)	Acrylonitrile-Butadiene-Styrene	0
0	Xd	Z3	Stairs (Alkyd Resin)	Block (Alkyd Resin)	Alkyd Resin	0
1.0.0	Xe	Z4	Stairs (Amorphous PolyEthylene Terephthalate)	Block (Amorphous PolyEthylene Terephthalate)	Amorphous PolyEthylene Terephthalate	0
0	Xf	Z5	Stairs (Bromine Isobutylene-Isoprene Rubber)	Block (Bromine Isobutylene-Isoprene Rubber)	Bromine Isobutylene-Isoprene Rubber	0
0	Xg	Z6	Stairs (Cellulose Diacetate)	Block (Cellulose Diacetate)	Cellulose Diacetate	0
0	Xh	Z7	Stairs (Cellulose Triacetate)	Block (Cellulose Triacetate)	Cellulose Triacetate	0
1.0.0	Xi	Z8	Stairs (Cellulosic)	Block (Cellulosic)	Cellulosic	0
0	Xj	Z9	Stairs (Chitin)	Block (Chitin)	Chitin	0
0	Xk	Za	Stairs (Chlorine Isobutylene-Isoprene Rubber)	Block (Chlorine Isobutylene-Isoprene Rubber)	Chlorine Isobutylene-Isoprene Rubber	0
0	Xl	Zb	Stairs (Epoxy Resin)	Block (Epoxy Resin)	Epoxy Resin	0
0	Xm	Zc	Stairs (Ethoxylates)	Block (Ethoxylates)	Ethoxylates	0
0	Xn	Zd	Stairs (Ethylene-Propylene Monomer)	Block (Ethylene-Propylene Monomer)	Ethylene-Propylene Monomer	0
0	Xo	Ze	Stairs (Ethylene-Propylene-Diene Monomer)	Block (Ethylene-Propylene-Diene Monomer)	Ethylene-Propylene-Diene Monomer	0
1.0.0	Xp	Zf	Stairs (Ethylene-Vinyl Acetate)	Block (Ethylene-Vinyl Acetate)	Ethylene-Vinyl Acetate	0
1.0.0	Xq	Zg	Stairs (High Density PolyEthylene)	Block (High Density PolyEthylene)	High Density PolyEthylene	0
0	Xr	Zh	Stairs (Hydrogenated Nitrile-Butadiene Rubber)	Block (Hydrogenated Nitrile-Butadiene Rubber)	Hydrogenated Nitrile-Butadiene Rubber	0
0	Xs	Zi	Stairs (Isobutylene-Isoprene Rubber)	Block (Isobutylene-Isoprene Rubber)	Isobutylene-Isoprene Rubber	0
0	Xt	Zj	Stairs (Lignin)	Block (Lignin)	Lignin	0
1.0.0	Xu	Zk	Stairs (Linear Low-Density PolyEthylene)	Block (Linear Low-Density PolyEthylene)	Linear Low-Density PolyEthylene	0
1.0.0	Xv	Zl	Stairs (Liquid Crystal Polymer)	Block (Liquid Crystal Polymer)	Liquid Crystal Polymer	0
1.0.0	Xw	Zm	Stairs (Low Density PolyEthylene)	Block (Low Density PolyEthylene)	Low Density PolyEthylene	0
1.0.0	Xx	Zn	Stairs (Medium Density PolyEthylene)	Block (Medium Density PolyEthylene)	Medium Density PolyEthylene	0
0	Xy	Zo	Stairs (Melamine-Formaldehyde Polymers)	Block (Melamine-Formaldehyde Polymers)	Melamine-Formaldehyde Polymers	0
1.0.0	Xz	Zp	Stairs (Metaldehyde)	Block (Metaldehyde)	Metaldehyde	0
0	XA	Zq	Stairs (Nitrile-Butadiene Rubber)	Block (Nitrile-Butadiene Rubber)	Nitrile-Butadiene Rubber	0
1.0.0	XB	Zr	Stairs (Paraformaldehyde)	Block (Paraformaldehyde)	Paraformaldehyde	0
1.0.0	XC	Zs	Stairs (Paraledhyde)	Block (Paraledhyde)	Paraledhyde	0
0	XD	Zt	Stairs (Phenolic Resin)	Block (Phenolic Resin)	Phenolic Resin	0
