Version	Block Game ID	Item Game ID	Wall	Source	Version	Bounce Height
1.3.2	Tv	Vl	Wall (AF Resin)	Block (AF Resin)	AF Resin	0
1.0.0	Tw	Vm	Wall (ABS)	Block (ABS)	ABS	0
0	Tx	Vn	Wall (Alkyd Resin)	Block (Alkyd Resin)	Alkyd Resin	0
1.0.0	Ty	Vo	Wall (A-PET)	Block (A-PET)	A-PET	0
1.1.0	Tz	Vp	Wall (BIIR)	Block (BIIR)	BIIR	6
1.1.0	TA	Vq	Wall (Carbon Fiber)	Block (Carbon Fiber)	Carbon Fiber	0
0	TB	Vr	Wall (CTAP)	Block (CTAP)	CTAP	0
1.0.0	TC	Vs	Wall (Cellulose)	Block (Cellulose)	Cellulose	0
1.1.0	TD	Vt	Wall (Chitin)	Block (Chitin)	Chitin	0
1.1.0	TE	Vu	Wall (CIIR)	Block (CIIR)	CIIR	6
1.1.2	TF	Vv	Wall (Epoxy Resin)	Block (Epoxy Resin)	Epoxy Resin	0
0	TG	Vw	Wall (NRE)	Block (NRE)	NRE	0
1.1.0	TH	Vx	Wall (EPM)	Block (EPM)	EPM	0
1.1.0	TI	Vy	Wall (EPDM)	Block (EPDM)	EPDM	9
1.1.0	TJ	Vz	Wall (EVA)	Block (EVA)	EVA	9
1.0.0	TK	VA	Wall (HDPE)	Block (HDPE)	HDPE	0
1.1.0	TL	VB	Wall (HNBR)	Block (HNBR)	HNBR	6
1.1.0	TM	VC	Wall (Butyl Rubber)	Block (Butyl Rubber)	Butyl Rubber	4
0	TN	VD	Wall (Lignin)	Block (Lignin)	Lignin	0
1.0.0	TO	VE	Wall (LLDPE)	Block (LLDPE)	LLDPE	0
1.0.0	TP	VF	Wall (LCP)	Block (LCP)	LCP	0
1.0.0	TQ	VG	Wall (LDPE)	Block (LDPE)	LDPE	0
1.0.0	TR	VH	Wall (MDPE)	Block (MDPE)	MDPE	0
0	TS	VI	Wall (MFP)	Block (MFP)	MFP	0
1.0.0	TT	VJ	Wall (MALD)	Block (MALD)	MALD	0
1.1.0	TU	VK	Wall (NBR)	Block (NBR)	NBR	6
1.0.0	TV	VL	Wall (PFA)	Block (PFA)	PFA	0
1.0.0	TW	VM	Wall (PALD)	Block (PALD)	PALD	0
1.1.2	TX	VN	Wall (Phenol Formaldehydes)	Block (Phenol Formaldehydes)	Phenol Formaldehydes	0
1.0.0	TY	VO	Wall (PHBV)	Block (PHBV)	PHBV	0
1.3.2	TZ	VP	Wall (P1B)	Block (P1B)	P1B	0
1.3.2	U0	VQ	Wall (PDPE)	Block (PDPE)	PDPE	0
1.3.2	U1	VR	Wall (PHB)	Block (PHB)	PHB	0
1.3.2	U2	VS	Wall (PHEMA)	Block (PHEMA)	PHEMA	0
1.1.2	U3	VT	Wall (PAA)	Block (PAA)	PAA	0
1.0.0	U4	VU	Wall (PAN)	Block (PAN)	PAN	0
1.0.0	U5	VV	Wall (PBR (low grade))	Block (PBR (low grade))	PBR (low grade)	3
1.1.0	U6	VW	Wall (PBR (high grade))	Block (PBR (high grade))	PBR (high grade)	4
1.0.0	U7	VX	Wall (PBS)	Block (PBS)	PBS	0
1.0.0	U9	VZ	Wall (PBT)	Block (PBT)	PBT	0
1.0.0	Ua	W0	Wall (PCL)	Block (PCL)	PCL	0
1.0.0	Ub	W1	Wall (PC)	Block (PC)	PC	0
1.3.2	Uc	W2	Wall (PCHL)	Block (PCHL)	PCHL	0
0	Ud	W3	Wall (PCTFE)	Block (PCTFE)	PCTFE	0
1.0.0	Ue	W4	Wall (PDMS)	Block (PDMS)	PDMS	0
