Game ID	Vessel	Source Type	Source Name	Vessel Type
1M	Beaker (Crude Oil)	Compound	Crude Oil	Beaker
1N	Pale (Crude Oil)	Compound	Crude Oil	Pale
1O	Drum (Crude Oil)	Compound	Crude Oil	Drum
1P	Beaker (Naphthalene)	Compound	Naphthalene	Beaker
1Q	Pale (Naphthalene)	Compound	Naphthalene	Pale
1R	Drum (Naphthalene)	Compound	Naphthalene	Drum
1S	Beaker (Benzene-Toluene-Xylene)	Compound	Benzene-Toluene-Xylene	Beaker
1T	Pale (Benzene-Toluene-Xylene)	Compound	Benzene-Toluene-Xylene	Pale
1U	Drum (Benzene-Toluene-Xylene)	Compound	Benzene-Toluene-Xylene	Drum
1V	Beaker (Gas Oil)	Compound	Gas Oil	Beaker
1W	Pale (Gas Oil)	Compound	Gas Oil	Pale
1X	Drum (Gas Oil)	Compound	Gas Oil	Drum
22	Beaker (NeoPentane)	Compound	NeoPentane	Beaker
23	Pale (NeoPentane)	Compound	NeoPentane	Pale
24	Drum (NeoPentane)	Compound	NeoPentane	Drum
25	Flask (Methane)	Compound	Methane	Flask
26	Cartridge (Methane)	Compound	Methane	Cartridge
27	Canister (Methane)	Compound	Methane	Canister
28	Flask (Ethane)	Compound	Ethane	Flask
29	Cartridge (Ethane)	Compound	Ethane	Cartridge
2a	Canister (Ethane)	Compound	Ethane	Canister
2b	Beaker (Propanol)	Compound	Propanol	Beaker
2c	Pale (Propanol)	Compound	Propanol	Pale
2d	Drum (Propanol)	Compound	Propanol	Drum
2e	Flask (Butane Isomers)	Compound	Butane Isomers	Flask
2f	Cartridge (Butane Isomers)	Compound	Butane Isomers	Cartridge
2g	Canister (Butane Isomers)	Compound	Butane Isomers	Canister
2h	Beaker (Peracetic Acid)	Compound	Peracetic Acid	Beaker
2i	Pale (Peracetic Acid)	Compound	Peracetic Acid	Pale
2j	Drum (Peracetic Acid)	Compound	Peracetic Acid	Drum
2k	Beaker (Hexane Isomers)	Compound	Hexane Isomers	Beaker
2l	Pale (Hexane Isomers)	Compound	Hexane Isomers	Pale
2m	Drum (Hexane Isomers)	Compound	Hexane Isomers	Drum
2n	Beaker (Light Naphtha)	Compound	Light Naphtha	Beaker
2o	Pale (Light Naphtha)	Compound	Light Naphtha	Pale
2p	Drum (Light Naphtha)	Compound	Light Naphtha	Drum
2q	Beaker (Heavy Naphtha)	Compound	Heavy Naphtha	Beaker
2r	Pale (Heavy Naphtha)	Compound	Heavy Naphtha	Pale
2s	Drum (Heavy Naphtha)	Compound	Heavy Naphtha	Drum
2t	Beaker (Light Naphthenes)	Compound	Light Naphthenes	Beaker
2u	Pale (Light Naphthenes)	Compound	Light Naphthenes	Pale
2v	Drum (Light Naphthenes)	Compound	Light Naphthenes	Drum
2w	Beaker (Light Olefins)	Compound	Light Olefins	Beaker
2x	Pale (Light Olefins)	Compound	Light Olefins	Pale
2y	Drum (Light Olefins)	Compound	Light Olefins	Drum
2z	Beaker (Light Parrafins)	Compound	Light Parrafins	Beaker
2A	Pale (Light Parrafins)	Compound	Light Parrafins	Pale
2B	Drum (Light Parrafins)	Compound	Light Parrafins	Drum
2C	Beaker (N-Ethylidenecyclohexylamine)	Compound	N-Ethylidenecyclohexylamine	Beaker
2D	Pale (N-Ethylidenecyclohexylamine)	Compound	N-Ethylidenecyclohexylamine	Pale
2E	Drum (N-Ethylidenecyclohexylamine)	Compound	N-Ethylidenecyclohexylamine	Drum
2F	Beaker (IsoButane)	Compound	IsoButane	Beaker
2G	Pale (IsoButane)	Compound	IsoButane	Pale
2H	Drum (IsoButane)	Compound	IsoButane	Drum
2I	Beaker (Naphtha)	Compound	Naphtha	Beaker
2J	Pale (Naphtha)	Compound	Naphtha	Pale
2K	Drum (Naphtha)	Compound	Naphtha	Drum
2L	Beaker (IsoPentane)	Compound	IsoPentane	Beaker
2M	Pale (IsoPentane)	Compound	IsoPentane	Pale
2N	Drum (IsoPentane)	Compound	IsoPentane	Drum
2O	Flask (Nitrogen Gas)	Compound	Nitrogen Gas	Flask
2P	Cartridge (Nitrogen Gas)	Compound	Nitrogen Gas	Cartridge
2Q	Canister (Nitrogen Gas)	Compound	Nitrogen Gas	Canister
2R	Beaker (N-Pentane)	Compound	N-Pentane	Beaker
2S	Pale (N-Pentane)	Compound	N-Pentane	Pale
2T	Drum (N-Pentane)	Compound	N-Pentane	Drum
2U	Beaker (2-MethylPentane)	Compound	2-MethylPentane	Beaker
2V	Pale (2-MethylPentane)	Compound	2-MethylPentane	Pale
2W	Drum (2-MethylPentane)	Compound	2-MethylPentane	Drum
2X	Beaker (3-MethylPentane)	Compound	3-MethylPentane	Beaker
2Y	Pale (3-MethylPentane)	Compound	3-MethylPentane	Pale
2Z	Drum (3-MethylPentane)	Compound	3-MethylPentane	Drum
30	Beaker (2,2-DiMethylButane)	Compound	2,2-DiMethylButane	Beaker
31	Pale (2,2-DiMethylButane)	Compound	2,2-DiMethylButane	Pale
32	Drum (2,2-DiMethylButane)	Compound	2,2-DiMethylButane	Drum
33	Beaker (2,3-DiMethylButane)	Compound	2,3-DiMethylButane	Beaker
34	Pale (2,3-DiMethylButane)	Compound	2,3-DiMethylButane	Pale
35	Drum (2,3-DiMethylButane)	Compound	2,3-DiMethylButane	Drum
