Version	Level	Item (x5)					
1.3.2	2	Mask (Solar Cell)(PR Backplane)					x
				x		x	
				x		x	
				x		x	
				x		x	
1.3.2	3	Mask (Solar Cell)(PR Semiconductor)					x
				x			
							
						x	
							
1.3.2	3	Mask (Solar Cell)(PR Dielectric)					x
			x	x	x		
				x		x	
					x	x	x
						x	
1.3.2	3	Mask (Solar Cell)(PR Traces)					x
			x	x	x	x	x
							
			x	x	x	x	x
							
1.3.2	3	Mask (Solar Cell)(PR Encapsulation)					x
			x				
							
			x				
				x		x	
1.3.2	3	Mask (Processor)(PR Backplane)				x	
				x		x	
				x		x	
				x		x	
				x		x	
1.3.2	3	Mask (Processor)(PR n-Type Semiconductor)				x	
				x			
							
						x	
							
1.3.2	3	Mask (Processor)(PR p-Type Semiconductor)				x	
							
				x			
							
						x	
1.3.2	3	Mask (Processor)(PR Dielectric)				x	
			x	x	x		
			x	x	x	x	x
					x	x	x
					x	x	x
1.3.2	3	Mask (Processor)(PR Inner Traces)				x	
							
			x	x	x	x	x
							
			x	x	x	x	x
1.3.2	3	Mask (Processor)(PR Through Vias)				x	
				x			
				x			
						x	
						x	
1.3.2	3	Mask (Processor)(PR Outer Traces)				x	
			x	x	x	x	x
							
			x	x	x	x	x
							
1.3.2	3	Mask (Processor)(PR Encapsulation)				x	
			x				
			x				
			x				
			x	x		x	
1.3.2	3	Mask (Temperature Sensor)(PR Backplane)				x	x
				x		x	
				x		x	
				x		x	
				x		x	
1.3.2	3	Mask (Temperature Sensor)(PR Semiconductor)				x	x
				x			
							
						x	
							
1.3.2	3	Mask (Temperature Sensor)(PR Dielectric)				x	x
			x	x	x		
				x		x	
					x	x	x
						x	
1.3.2	3	Mask (Temperature Sensor)(PR Traces)				x	x
			x	x	x	x	x
							
			x	x	x	x	x
							
1.3.2	3	Mask (Temperature Sensor)(PR Encapsulation)				x	x
			x				
							
			x				
				x		x	
1.3.2	3	Mask (Pressure Sensor)(PR Backplane)			x		
				x		x	
				x		x	
				x		x	
				x		x	
1.3.2	3	Mask (Pressure Sensor)(PR Semiconductor)			x		
				x			
							
						x	
							
1.3.2	3	Mask (Pressure Sensor)(PR Dielectric)			x		
			x	x	x		
				x		x	
					x	x	x
						x	
1.3.2	3	Mask (Pressure Sensor)(PR Traces)			x		
			x	x	x	x	x
							
			x	x	x	x	x
							
1.3.2	3	Mask (Pressure Sensor)(PR Encapsulation)			x		
			x				
							
			x				
				x		x	
1.3.2	3	Mask (Low Power Radio)(PR Backplane)			x		x
				x		x	
				x		x	
				x		x	
				x		x	
1.3.2	3	Mask (Low Power Radio)(PR n-Type Semiconductor)			x		x
				x			
							
						x	
							
1.3.2	3	Mask (Low Power Radio)(PR p-Type Semiconductor)			x		x
							
				x			
							
						x	
1.3.2	3	Mask (Low Power Radio)(PR Dielectric)			x		x
			x	x	x		
			x	x	x	x	x
					x	x	x
					x	x	x
1.3.2	3	Mask (Low Power Radio)(PR Inner Traces)			x		x
							
			x	x	x	x	x
							
			x	x	x	x	x
1.3.2	3	Mask (Low Power Radio)(PR Through Vias)			x		x
				x			
				x			
						x	
						x	
1.3.2	3	Mask (Low Power Radio)(PR Outer Traces)			x		x
			x	x	x	x	x
							
			x	x	x	x	x
							
1.3.2		Mask (Low Power Radio)(PR Encapsulation)			x		x
			x				
			x				
			x				
			x	x		x	
1.3.2		Mask (DSP)(PR Backplane)			x	x	
				x		x	
				x		x	
				x		x	
				x		x	
1.3.2		Mask (DSP)(PR n-Type Semiconductor)			x	x	
				x			
							
						x	
							
1.3.2		Mask (DSP)(PR p-Type Semiconductor)			x	x	
							
				x			
							
						x	
1.3.2		Mask (DSP)(PR Dielectric)			x	x	
			x	x	x		
			x	x	x	x	x
					x	x	x
					x	x	x
1.3.2		Mask (DSP)(PR Inner Traces)			x	x	
							
			x	x	x	x	x
							
			x	x	x	x	x
1.3.2		Mask (DSP)(PR Through Vias)			x	x	
				x			
				x			
						x	
						x	
1.3.2		Mask (DSP)(PR Outer Traces)			x	x	
			x	x	x	x	x
							
			x	x	x	x	x
							
1.3.2		Mask (DSP)(PR Encapsulation)			x	x	
			x				
			x				
			x				
			x	x		x	
1.3.2		Mask (Digital Analog Convertor)(PR Backplane)			x	x	x
				x		x	
				x		x	
				x		x	
				x		x	
