Version	 Chain	Source	Task	Input 1	I1#	Input 2	I2#	Input 3	I3#	Input 4	I4#	Input 5	I5#	Ouptut 1	O1#	Ouptut 2	O2#	Ouptut 3	O3#	Ouptut 4	O4#	Ouptut 5	O5#	Ouptut 6	O6#	Notes
1.0.0		Heat	Cataysis	Bag (Sodium)	2	Bag (Aluminum)	2	Bag (Silicon)	3	Flask (Oxygen)	5	Vial (Water)	2	Zeolite Catalyst	1											
1.0.0		Heat	Cataysis	Sack (Sodium)	2	Sack (Aluminum)	2	Sack (Silicon)	3	Cartridge (Oxygen)	5	Beaker (Water)	2	Zeolite Catalyst	64											
1.0.0		Heat	Recycling	Bag (PolyPropylene Pellets)	8									Vial (Propylene)	7											
1.0.0		Heat	Recycling	Sack (PolyPropylene Pellets)	8									Beaker (Propylene)	7											
1.0.0		Heat	Recycling	Powder Keg (PolyPropylene Pellets)	8									Drum (Propylene)	7											
1.0.0		Heat	Recycling	Fibers (PolyPropylene)	8									Beaker (Propylene)	7											
1.0.0		Heat	Recycling	Block (PolyPropylene)	8									Beaker (Propylene)	7											
1.0.0		Heat	Recycling	Slab (PolyPropylene)	16									Beaker (Propylene)	7											
1.0.0		Heat	Recycling	Stairs (PolyPropylene)	8									Beaker (Propylene)	7											
1.0.0		Heat	Recycling	Bag (Amorphous PolyEthylene Terephthalate Pellets)	1									Vial (Terephthalic Acid)	2	Vial (Ethylene Glycol)	4	Vial (Dimethyl Terephthalate)	1							
1.0.0		Heat	Recycling	Sack (Amorphous PolyEthylene Terephthalate Pellets)	1									Beaker (Terephthalic Acid)	2	Beaker (Ethylene Glycol)	4	Beaker (Dimethyl Terephthalate)	1							
1.0.0		Heat	Recycling	Powder Keg (Amorphous PolyEthylene Terephthalate Pellets)	1									Drum (Terephthalic Acid)	2	Drum (Ethylene Glycol)	4	Drum (Dimethyl Terephthalate)	1							
1.0.0		Heat	Recycling	Bag (Low Density PolyEthylene Pellets)	8									Flask (Ethylene)	7											
1.0.0		Heat	Recycling	Sack (Low Density PolyEthylene Pellets)	8									Cartridge (Ethylene)	7											
1.0.0		Heat	Recycling	Powder Keg (Low Density PolyEthylene Pellets)	8									Canister (Ethylene)	7											
1.0.0		Heat	Recycling	Fibers (Low Density PolyEthylene)	8									Cartridge (Ethylene)	7											
1.0.0		Heat	Recycling	Block (Low Density PolyEthylene)	8									Cartridge (Ethylene)	7											
1.0.0		Heat	Recycling	Slab (Low Density PolyEthylene)	16									Cartridge (Ethylene)	7											
1.0.0		Heat	Recycling	Stairs (Low Density PolyEthylene)	8									Cartridge (Ethylene)	7											
1.0.0	FALSE	UV	Synthesis	Flask (Ethylene)	1									Bag (Low Density PolyEthylene Pellets)	1											
1.0.0	FALSE	Heat	Synthesis	Flask (Ethylene)	1	Vial (Water)	1							Vial (Ethanol)	1											
1.0.0	FALSE	Heat	Synthesis	Flask (Ethylene)	1	Flask (Oxygen)	1	Palladium Catalyst	1					Vial (Ethylene Oxide)	1											
1.0.0	FALSE	Heat	Synthesis	Flask (Ethylene)	2	Vial (Acetic Acid)	2	Flask (Oxygen)	1	Palladium Catalyst	1			Vial (Vinyl Acetate)	2	Vial (Water)	2									
1.0.0	FALSE	UV	Synthesis	Cartridge (Ethylene)	1									Sack (Low Density PolyEthylene Pellets)	1											
1.0.0	FALSE	Heat	Synthesis	Cartridge (Ethylene)	1	Beaker (Water)	1							Beaker (Ethanol)	1											
1.0.0	FALSE	Heat	Synthesis	Cartridge (Ethylene)	1	Cartridge (Oxygen)	1	Palladium Catalyst	4					Beaker (Ethylene Oxide)	1											
1.0.0	FALSE	Heat	Synthesis	Cartridge (Ethylene)	2	Beaker (Acetic Acid)	2	Cartridge (Oxygen)	1	Palladium Catalyst	4			Beaker (Vinyl Acetate)	2	Beaker (Water)	2									
