Level	Output	O1#	Input	I1#
2	Magnesium Ingot	1	Magnesium Ore	1
2	Titanium Ingot	1	Titanium Ore	1
2	Manganese Ingot	1	Manganese Ore	1
2	Cobalt Ingot	1	Cobalt Ore	1
2	Nickel Ingot	1	Nickel Ore	1
2	Copper Ingot	1	Copper Ore	1
2	Zinc Ingot	1	Zinc Ore	1
2	Palladium Ingot	1	Palladium Ore	1
2	Silver Ingot	1	Silver Ore	1
2	Antimony Ingot	1	Antimony Ore	1
2	Tungsten Ingot	1	Tungsten Ore	1
2	Platinum Ingot	1	Platinum Ore	1
2	Lead Ingot	1	Lead Ore	1
2	Bismuth Ingot	1	Bismuth Ore	1
2	Aluminum Ingot	1	Bauxite	1
2	Platinum Catalyst	1	Platinum Ingot	1
2	Titanium Catalyst	1	Titanium Ingot	1
2	Palladium Catalyst	1	Palladium Ingot	1
2	Cobalt Catalyst	1	Cobalt Ingot	1
2	Manganese Catalyst	1	Manganese Ingot	1
2	Silver Catalyst	1	Silver Ingot	1
5	Block (Low Density PolyEthylene)	1	Cartridge (Ethylene)	1
5	Block (PolyPropylene)	1	Pail (Propylene)	1
