Version	Level	Source	Task	Input 1	I1#	Input 2	I2#	Ouptut 1	O1#	Ouptut 2	O2#	Ouptut 3	O3#	Ouptut 4	O4#	Ouptut 5	O5#	Ouptut 6	O6#	Notes		
1.0.0	5	Heat 	Cracking	Flask (Butane Isomers)	8	Platinum Catalyst	1	Flask (Methane)	4	Flask (Propylene)	4	Flask (Ethane)	3	Flask (Ethylene)	3	Vial (Butylene isomers)	1	Flask (Hydrogen)	1			
1.0.0	5	Heat 	Cracking	Cartridge (Butane Isomers)	1	Platinum Catalyst	1	Flask (Methane)	31	Flask (Propylene)	31	Flask (Ethane)	24	Flask (Ethylene)	24	Vial (Butylene isomers)	9	Flask (Hydrogen)	9			
1.0.0	5	Heat 	Cracking	Canister (Butane Isomers)	1	Platinum Catalyst	4	Cartridge (Methane)	31	Cartridge (Propylene)	31	Cartridge (Ethane)	24	Cartridge (Ethylene)	24	Beaker (Butylene isomers)	9	Cartridge (Hydrogen)	9			
1.0.0	5	Heat 	Cracking	Canister (Butane Isomers)	64	Platinum Catalyst	16	Canister (Methane)	31	Canister (Propylene)	31	Canister (Ethane)	24	Canister (Ethylene)	24	Drum (Butylene isomers)	9	Canister (Hydrogen)	9			
1.0.0	4	Heat 	Cracking	Flask (Propane)	8	Platinum Catalyst	1	Flask (Methane)	4	Flask (Ethylene)	4	Flask (Propylene)	4	Flask (Hydrogen)	4							
1.0.0	5	Heat 	Cracking	Cartridge (Propane)	1	Platinum Catalyst	1	Flask (Methane)	31	Flask (Ethylene)	32	Flask (Propylene)	31	Flask (Hydrogen)	33	Flask (Ethane)	2					
1.0.0	5	Heat 	Cracking	Canister (Propane)	1	Platinum Catalyst	4	Cartridge (Methane)	31	Cartridge (Ethylene)	32	Cartridge (Propylene)	31	Cartridge (Hydrogen)	33	Cartridge (Ethane)	2					
1.0.0	5	Heat 	Cracking	Canister (Propane)	64	Platinum Catalyst	16	Canister (Methane)	31	Canister (Ethylene)	32	Canister (Propylene)	31	Canister (Hydrogen)	33	Canister (Ethane)	2					
1.0.0	5	Heat 	Cracking	Flask (Ethane)	8	Platinum Catalyst	1	Flask (Methane)	3	Flask (Ethylene)	6	Flask (Hydrogen)	5									
1.0.0	5	Heat 	Cracking	Cartridge (Ethane)	1	Platinum Catalyst	1	Flask (Methane)	24	Flask (Ethylene)	52	Flask (Hydrogen)	40									
1.0.0	5	Heat 	Cracking	Canister (Ethane)	1	Platinum Catalyst	4	Cartridge (Methane)	24	Cartridge (Ethylene)	52	Cartridge (Hydrogen)	40									
1.0.0	5	Heat 	Cracking	Canister (Ethane)	64	Platinum Catalyst	16	Canister (Methane)	24	Canister (Ethylene)	52	Canister (Hydrogen)	40									
1.0.0	5	Heat 	Cracking	Flask (Methane)	8	Zeolite Catalyst	1	Flask (Hydrogen)	8	Flask (Hydrogen)	7	Flask (Carbon Dioxide)	8									
1.0.0	8	Heat 	Cracking	Cartridge (Methane)	1	Zeolite Catalyst	1	Cartridge (Hydrogen)	1	Flask (Hydrogen)	56	Cartridge (Carbon Dioxide)	1									
1.0.0	8	Heat 	Cracking	Canister (Methane)	1	Zeolite Catalyst	4	Canister (Hydrogen)	1	Cartridge (Hydrogen)	56	Canister (Carbon Dioxide)	1									
1.0.0	8	Heat 	Cracking	Canister (Methane)	64	Zeolite Catalyst	16	Canister (Hydrogen)	64	Canister (Hydrogen)	56	Canister (Carbon Dioxide)	64									
1.0.0	5	Heat 	Cracking	Coal	4	Platinum Catalyst	1	Cartridge (Hydrogen)	1	Bitumen	1	Flask (Carbon Dioxide)	32	Vial (Carbon Monoxide)	32							
1.0.0	5	Heat 	Cracking	Coal	16	Platinum Catalyst	2	Cartridge (Hydrogen)	4	Bitumen	4	Cartridge (Carbon Dioxide)	2	Beaker (Carbon Monoxide)	2							
1.0.0	5	Heat 	Cracking	Coal	64	Platinum Catalyst	3	Cartridge (Hydrogen)	16	Bitumen	16	Cartridge (Carbon Dioxide)	8	Beaker (Carbon Monoxide)	8							
1.0.0	5	Heat 	Cracking	Coal Block	4	Platinum Catalyst	3	Cartridge (Hydrogen)	16	Block of Bitumen	1	Cartridge (Carbon Dioxide)	8	Beaker (Carbon Monoxide)	8							
1.0.0	5	Heat 	Cracking	Coal Block	16	Platinum Catalyst	4	Canister (Hydrogen)	1	Block of Bitumen	4	Cartridge (Carbon Dioxide)	32	Beaker (Carbon Monoxide)	32							
1.0.0	5	Heat 	Cracking	Coal Block	64	Platinum Catalyst	5	Canister (Hydrogen)	4	Block of Bitumen	16	Canister (Carbon Dioxide)	2	Drum (Carbon Monoxide)	2							
1.0.0	5	Heat 	Cracking	Vial (Heavy Naphtha)	4	Palladium Catalyst	1	Vial (Butadiene)	4													
1.0.0	5	Heat 	Cracking	Vial (Heavy Naphtha)	16	Palladium Catalyst	1	Vial (Butadiene)	16	Vial (Benzene-Toluene-Xylene)	2	Vial (Light Olefins)	2									
1.0.0	5	Heat 	Cracking	Beaker (Heavy Naphtha)	1	Palladium Catalyst	4	Beaker (Butadiene)	1	Vial (Benzene-Toluene-Xylene)	8	Vial (Light Olefins)	8									
1.0.0	5	Heat 	Cracking	Beaker (Heavy Naphtha)	4	Palladium Catalyst	4	Beaker (Butadiene)	4	Vial (Benzene-Toluene-Xylene)	32	Vial (Light Olefins)	32									
1.0.0	5	Heat 	Cracking	Beaker (Heavy Naphtha)	16	Palladium Catalyst	4	Beaker (Butadiene)	16	Beaker (Benzene-Toluene-Xylene)	2	Beaker (Light Olefins)	2									
1.0.0	5	Heat 	Cracking	Drum (Heavy Naphtha)	1	Palladium Catalyst	8	Drum (Butadiene)	1	Beaker (Benzene-Toluene-Xylene)	8	Beaker (Light Olefins)	8									
1.0.0	5	Heat 	Cracking	Drum (Heavy Naphtha)	4	Palladium Catalyst	16	Drum (Butadiene)	4	Beaker (Benzene-Toluene-Xylene)	32	Beaker (Light Olefins)	32									
1.0.0	5	Heat 	Cracking	Drum (Heavy Naphtha)	16	Palladium Catalyst	16	Drum (Butadiene)	16	Drum (Benzene-Toluene-Xylene)	2	Drum (Light Olefins)	2									
1.0.0	5	Heat 	Cracking	Drum (Heavy Naphtha)	64	Palladium Catalyst	16	Drum (Butadiene)	64	Drum (Benzene-Toluene-Xylene)	8	Drum (Light Olefins)	8									
1.0.0	5	Heat 	Cracking	Vial (Heavy Naphtha)	4	Platinum Catalyst	1	Vial (Butadiene)	3													
1.0.0	5	Heat 	Cracking	Vial (Heavy Naphtha)	16	Platinum Catalyst	1	Vial (Butadiene)	12	Vial (Benzene-Toluene-Xylene)	2	Vial (Light Olefins)	2									
1.0.0	5	Heat 	Cracking	Beaker (Heavy Naphtha)	1	Platinum Catalyst	4	Vial (Butadiene)	48	Vial (Benzene-Toluene-Xylene)	8	Vial (Light Olefins)	8									
1.0.0	5	Heat 	Cracking	Beaker (Heavy Naphtha)	4	Platinum Catalyst	4	Beaker (Butadiene)	3	Vial (Benzene-Toluene-Xylene)	32	Vial (Light Olefins)	32									
1.0.0	5	Heat 	Cracking	Beaker (Heavy Naphtha)	16	Platinum Catalyst	4	Beaker (Butadiene)	12	Beaker (Benzene-Toluene-Xylene)	2	Beaker (Light Olefins)	2									
1.0.0	5	Heat 	Cracking	Drum (Heavy Naphtha)	1	Platinum Catalyst	8	Beaker (Butadiene)	48	Beaker (Benzene-Toluene-Xylene)	8	Beaker (Light Olefins)	8									
1.0.0	5	Heat 	Cracking	Drum (Heavy Naphtha)	4	Platinum Catalyst	16	Drum (Butadiene)	3	Beaker (Benzene-Toluene-Xylene)	32	Beaker (Light Olefins)	32									
1.0.0	5	Heat 	Cracking	Drum (Heavy Naphtha)	16	Platinum Catalyst	16	Drum (Butadiene)	12	Drum (Benzene-Toluene-Xylene)	2	Drum (Light Olefins)	2									
1.0.0	5	Heat 	Cracking	Drum (Heavy Naphtha)	64	Platinum Catalyst	16	Drum (Butadiene)	48	Drum (Benzene-Toluene-Xylene)	8	Drum (Light Olefins)	8									
1.1.0	5	Heat 	Cracking	Vial (Light Naphthenes)	4	Platinum Catalyst	2	Flask (Ethylene)	1	Flask (Propylene)	1	Vial (Butylene isomers)	1	Vial (Isoprene)	1							
1.1.0	5	Heat 	Cracking	Vial (Light Naphthenes)	16	Platinum Catalyst	3	Flask (Ethylene)	4	Flask (Propylene)	4	Vial (Butylene isomers)	4	Vial (Isoprene)	4							
1.1.0	5	Heat 	Cracking	Beaker (Light Naphthenes)	1	Platinum Catalyst	4	Flask (Ethylene)	16	Flask (Propylene)	16	Vial (Butylene isomers)	16	Vial (Isoprene)	16							
1.1.0	5	Heat 	Cracking	Beaker (Light Naphthenes)	4	Platinum Catalyst	5	Cartridge (Ethylene)	1	Cartridge (Propylene)	1	Beaker (Butylene isomers)	1	Beaker (Isoprene)	1							
1.1.0	5	Heat 	Cracking	Beaker (Light Naphthenes)	16	Platinum Catalyst	6	Cartridge (Ethylene)	4	Cartridge (Propylene)	4	Beaker (Butylene isomers)	4	Beaker (Isoprene)	4							
1.1.0	5	Heat 	Cracking	Drum (Light Naphthenes)	1	Platinum Catalyst	8	Cartridge (Ethylene)	16	Cartridge (Propylene)	16	Beaker (Butylene isomers)	16	Beaker (Isoprene)	16							
1.1.0	5	Heat 	Cracking	Drum (Light Naphthenes)	4	Platinum Catalyst	10	Canister (Ethylene)	1	Canister (Propylene)	1	Drum (Butylene isomers)	1	Drum (Isoprene)	1							
1.1.0	5	Heat 	Cracking	Drum (Light Naphthenes)	16	Platinum Catalyst	12	Canister (Ethylene)	4	Canister (Propylene)	4	Drum (Butylene isomers)	4	Drum (Isoprene)	4							
1.1.0	5	Heat 	Cracking	Drum (Light Naphthenes)	64	Platinum Catalyst	16	Canister (Ethylene)	16	Canister (Propylene)	16	Drum (Butylene isomers)	16	Drum (Isoprene)	16							
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
